region,year,gender,at_age,value
Ostdeutsche Bundesländer,1956,Frau,0,70.88
Ostdeutsche Bundesländer,1956,Frau,65,14.49
Ostdeutsche Bundesländer,1957,Frau,0,70.52
Ostdeutsche Bundesländer,1957,Frau,65,14.23
Ostdeutsche Bundesländer,1958,Frau,0,70.96
Ostdeutsche Bundesländer,1958,Frau,65,14.4
Ostdeutsche Bundesländer,1959,Frau,0,70.89
Ostdeutsche Bundesländer,1959,Frau,65,14.24
Ostdeutsche Bundesländer,1960,Frau,0,71.31
Ostdeutsche Bundesländer,1960,Frau,65,14.2
Ostdeutsche Bundesländer,1961,Frau,0,72.16
Ostdeutsche Bundesländer,1961,Frau,65,14.58
Ostdeutsche Bundesländer,1962,Frau,0,72.02
Ostdeutsche Bundesländer,1962,Frau,65,14.25
Ostdeutsche Bundesländer,1963,Frau,0,72.6
Ostdeutsche Bundesländer,1963,Frau,65,14.73
Ostdeutsche Bundesländer,1964,Frau,0,72.79
Ostdeutsche Bundesländer,1964,Frau,65,14.64
Ostdeutsche Bundesländer,1965,Frau,0,72.94
Ostdeutsche Bundesländer,1965,Frau,65,14.55
Ostdeutsche Bundesländer,1966,Frau,0,73.28
Ostdeutsche Bundesländer,1966,Frau,65,14.72
Ostdeutsche Bundesländer,1967,Frau,0,73.5
Ostdeutsche Bundesländer,1967,Frau,65,14.77
Ostdeutsche Bundesländer,1968,Frau,0,73.14
Ostdeutsche Bundesländer,1968,Frau,65,14.34
Ostdeutsche Bundesländer,1969,Frau,0,73.18
Ostdeutsche Bundesländer,1969,Frau,65,14.32
Ostdeutsche Bundesländer,1970,Frau,0,73.34
Ostdeutsche Bundesländer,1970,Frau,65,14.35
Ostdeutsche Bundesländer,1971,Frau,0,73.66
Ostdeutsche Bundesländer,1971,Frau,65,14.57
Ostdeutsche Bundesländer,1972,Frau,0,73.94
Ostdeutsche Bundesländer,1972,Frau,65,14.61
Ostdeutsche Bundesländer,1973,Frau,0,74.31
Ostdeutsche Bundesländer,1973,Frau,65,14.77
Ostdeutsche Bundesländer,1974,Frau,0,74.45
Ostdeutsche Bundesländer,1974,Frau,65,14.9
Ostdeutsche Bundesländer,1975,Frau,0,74.07
Ostdeutsche Bundesländer,1975,Frau,65,14.6
Ostdeutsche Bundesländer,1976,Frau,0,74.42
Ostdeutsche Bundesländer,1976,Frau,65,14.81
Ostdeutsche Bundesländer,1977,Frau,0,74.88
Ostdeutsche Bundesländer,1977,Frau,65,15.12
Ostdeutsche Bundesländer,1978,Frau,0,74.76
Ostdeutsche Bundesländer,1978,Frau,65,15.04
Ostdeutsche Bundesländer,1979,Frau,0,74.79
Ostdeutsche Bundesländer,1979,Frau,65,15.09
Ostdeutsche Bundesländer,1980,Frau,0,74.64
Ostdeutsche Bundesländer,1980,Frau,65,14.91
Ostdeutsche Bundesländer,1981,Frau,0,74.88
Ostdeutsche Bundesländer,1981,Frau,65,15.05
Ostdeutsche Bundesländer,1982,Frau,0,75.13
Ostdeutsche Bundesländer,1982,Frau,65,15.21
Ostdeutsche Bundesländer,1983,Frau,0,75.46
