year,gender,age_group,value
1999,Mann,18-24 Jahre,0.0323337832
1999,Mann,25-34 Jahre,0.0702586322
1999,Mann,35-44 Jahre,0.1125102333
1999,Mann,45-54 Jahre,0.1593199596
1999,Mann,55-64 Jahre,0.1723693302
1999,Mann,65 Jahre und älter,0.1438478873
1999,Mann,Zusammen,0.1211373878
2003,Mann,18-24 Jahre,0.0331223935
2003,Mann,25-34 Jahre,0.0669743596
2003,Mann,35-44 Jahre,0.0918027503
2003,Mann,45-54 Jahre,0.1404778518
2003,Mann,55-64 Jahre,0.1695529122
2003,Mann,65 Jahre und älter,0.164432991
2003,Mann,Zusammen,0.1228169762
2005,Mann,18-24 Jahre,0.0384939022
2005,Mann,25-34 Jahre,0.0849057986
2005,Mann,35-44 Jahre,0.1248454195
2005,Mann,45-54 Jahre,0.1777676008
2005,Mann,55-64 Jahre,0.206
2005,Mann,65 Jahre und älter,0.1806179518
2005,Mann,Zusammen,0.1434190761
2009,Mann,18-24 Jahre,0.0494173836
2009,Mann,25-34 Jahre,0.0965151687
2009,Mann,35-44 Jahre,0.1411158701
2009,Mann,45-54 Jahre,0.1798521886
2009,Mann,55-64 Jahre,0.2191662683
2009,Mann,65 und älter,0.1916244382
2009,Mann,Zusammen,0.1567655745
2013,Mann,18-24 Jahre,0.0562949291
2013,Mann,25-34 Jahre,0.1050523169
2013,Mann,35-44 Jahre,0.1594206912
2013,Mann,45-54 Jahre,0.1902493696
2013,Mann,55-64 Jahre,0.2360913535
2013,Mann,65 Jahre und älter,0.1990110422
2013,Mann,Zusammen,0.1714290576
1999,Frau,18-24 Jahre,0.0294973905
1999,Frau,25-34 Jahre,0.0610532758
1999,Frau,35-44 Jahre,0.0888511675
1999,Frau,45-54 Jahre,0.1283488132
1999,Frau,55-64 Jahre,0.1595270295
1999,Frau,65 Jahre und älter,0.1386813587
1999,Frau,Zusammen,0.1097654781
2003,Frau,18-24 Jahre,0.0331223935
2003,Frau,25-34 Jahre,0.0669743596
2003,Frau,35-44 Jahre,0.0918027503
2003,Frau,45-54 Jahre,0.1404778518
2003,Frau,55-64 Jahre,0.1695529122
2003,Frau,65 Jahre und älter,0.164432991
2003,Frau,Zusammen,0.1228169762
2005,Frau,18-24 Jahre,0.0373616203
2005,Frau,25-34 Jahre,0.0721699947
2005,Frau,35-44 Jahre,0.0918521986
2005,Frau,45-54 Jahre,0.1421007029
2005,Frau,55-64 Jahre,0.176
2005,Frau,65 Jahre und älter,0.1780963473
2005,Frau,Zusammen,0.1282746643
2009,Frau,18-24 Jahre,0.0382854507
2009,Frau,25-34 Jahre,0.0734274041
2009,Frau,35-44 Jahre,0.1016127499
2009,Frau,45-54 Jahre,0.1368998665
2009,Frau,55-64 Jahre,0.1919955118
2009,Frau,65 Jahre und älter,0.1885600206
2009,Frau,Zusammen,0.1375740194
2013,Frau,18-24 Jahre,0.0441976802
2013,Frau,25-34 Jahre,0.083893162
2013,Frau,35-44 Jahre,0.1095902911
2013,Frau,45-54 Jahre,0.1361246625
2013,Frau,55-64 Jahre,0.1901532866
2013,Frau,65 Jahre und älter,0.1876662801
2013,Frau,Zusammen,0.1433452597
