state,year,value
Baden-Württemberg,1999,0.1037563452
Bayern,1999,0.115183166
Berlin,1999,0.0982003518
Brandenburg,1999,0.1437414291
Bremen,1999,0.0980935053
Hamburg,1999,0.0885573996
Hessen,1999,0.115408069
Mecklenburg-Vorpommern,1999,0.1526349251
Niedersachsen,1999,0.1027959742
Nordrhein-Westfalen,1999,0.1115799667
Rheinland-Pfalz,1999,0.1194482619
Saarland,1999,0.1042247451
Sachsen,1999,0.1315950761
Sachsen-Anhalt,1999,0.1463682781
Schleswig-Holstein,1999,0.1001235303
Thüringen,1999,0.1521732078
Deutschland,1999,0.1154358078
Baden-Württemberg,2003,0.118
Bayern,2003,0.127
Berlin,2003,0.111
Brandenburg,2003,0.151
Bremen,2003,0.115
Hamburg,2003,0.097
Hessen,2003,0.126
Mecklenburg-Vorpommern,2003,0.185
Niedersachsen,2003,0.114
Nordrhein-Westfalen,2003,0.128
Rheinland-Pfalz,2003,0.136
Saarland,2003,0.112
Sachsen,2003,0.151
Sachsen-Anhalt,2003,0.17
Schleswig-Holstein,2003,0.112
Thüringen,2003,0.156
Deutschland,2003,0.129
Baden-Württemberg,2005,0.122
Bayern,2005,0.129
Berlin,2005,0.121
Brandenburg,2005,0.156
Bremen,2005,0.107
Hamburg,2005,0.101
Hessen,2005,0.13
Mecklenburg-Vorpommern,2005,0.193
Niedersachsen,2005,0.124
Nordrhein-Westfalen,2005,0.137
Rheinland-Pfalz,2005,0.143
Saarland,2005,0.143
Sachsen,2005,0.156
Sachsen-Anhalt,2005,0.18
Schleswig-Holstein,2005,0.123
Thüringen,2005,0.162
Deutschland,2005,0.136
Baden-Württemberg,2009,0.133
Bayern,2009,0.14
Berlin,2009,0.122
Brandenburg,2009,0.173
Bremen,2009,0.128
Hamburg,2009,0.105
Hessen,2009,0.147
Mecklenburg-Vorpommern,2009,0.196
Niedersachsen,2009,0.14
Nordrhein-Westfalen,2009,0.148
Rheinland-Pfalz,2009,0.155
Saarland,2009,0.156
Sachsen,2009,0.163
Sachsen-Anhalt,2009,0.19
Schleswig-Holstein,2009,0.133
Thüringen,2009,0.173
Deutschland,2009,0.147
Baden-Württemberg,2013,0.141
Bayern,2013,0.149
Berlin,2013,0.13
Brandenburg,2013,0.179
Bremen,2013,0.146
Hamburg,2013,0.111
Hessen,2013,0.157
Mecklenburg-Vorpommern,2013,0.206
Niedersachsen,2013,0.155
Nordrhein-Westfalen,2013,0.162
Rheinland-Pfalz,2013,0.171
Saarland,2013,0.16
Sachsen,2013,0.169
Sachsen-Anhalt,2013,0.202
Schleswig-Holstein,2013,0.144
Thüringen,2013,0.181
Deutschland,2013,0.157
