region,year,value
Deutschland,1991,
Deutschland,1992,0.077
Deutschland,1993,0.089
Deutschland,1994,0.096
Deutschland,1995,0.094
Deutschland,1996,0.104
Deutschland,1997,0.114
Deutschland,1998,0.111
Deutschland,1999,0.105
Deutschland,2000,0.096
Deutschland,2001,0.094
Deutschland,2002,0.098
Deutschland,2003,0.105
Deutschland,2004,0.105
Deutschland,2005,0.117
Deutschland,2006,0.108
Deutschland,2007,0.09
Deutschland,2008,0.078
Deutschland,2009,0.081
Deutschland,2010,0.077
Deutschland,2011,0.071
Deutschland,2012,0.068
Deutschland,2013,0.069
Deutschland,2014,0.067
Deutschland,2015,0.064
Westdeutsche Bundesländer,1991,
Westdeutsche Bundesländer,1992,
Westdeutsche Bundesländer,1993,
Westdeutsche Bundesländer,1994,0.081
Westdeutsche Bundesländer,1995,0.081
Westdeutsche Bundesländer,1996,0.089
Westdeutsche Bundesländer,1997,0.096
Westdeutsche Bundesländer,1998,0.092
Westdeutsche Bundesländer,1999,0.086
Westdeutsche Bundesländer,2000,0.076
Westdeutsche Bundesländer,2001,0.072
Westdeutsche Bundesländer,2002,0.076
Westdeutsche Bundesländer,2003,0.084
Westdeutsche Bundesländer,2004,0.085
Westdeutsche Bundesländer,2005,0.099
Westdeutsche Bundesländer,2006,0.091
Westdeutsche Bundesländer,2007,0.074
Westdeutsche Bundesländer,2008,0.064
Westdeutsche Bundesländer,2009,0.069
Westdeutsche Bundesländer,2010,0.066
Westdeutsche Bundesländer,2011,0.06
Westdeutsche Bundesländer,2012,0.059
Westdeutsche Bundesländer,2013,0.06
Westdeutsche Bundesländer,2014,0.059
Westdeutsche Bundesländer,2015,0.057
Ostdeutsche Bundesländer,1991,
Ostdeutsche Bundesländer,1992,
Ostdeutsche Bundesländer,1993,
Ostdeutsche Bundesländer,1994,0.148
Ostdeutsche Bundesländer,1995,0.139
Ostdeutsche Bundesländer,1996,0.155
Ostdeutsche Bundesländer,1997,0.177
Ostdeutsche Bundesländer,1998,0.178
Ostdeutsche Bundesländer,1999,0.173
Ostdeutsche Bundesländer,2000,0.171
Ostdeutsche Bundesländer,2001,0.173
Ostdeutsche Bundesländer,2002,0.177
Ostdeutsche Bundesländer,2003,0.185
Ostdeutsche Bundesländer,2004,0.184
Ostdeutsche Bundesländer,2005,0.187
Ostdeutsche Bundesländer,2006,0.173
Ostdeutsche Bundesländer,2007,0.15
Ostdeutsche Bundesländer,2008,0.131
Ostdeutsche Bundesländer,2009,0.13
Ostdeutsche Bundesländer,2010,0.12
Ostdeutsche Bundesländer,2011,0.113
Ostdeutsche Bundesländer,2012,0.107
Ostdeutsche Bundesländer,2013,0.103
Ostdeutsche Bundesländer,2014,0.098
Ostdeutsche Bundesländer,2015,0.092
