category,year,value
Insgesamt,1991,0.1407476817
Insgesamt,1992,0.1473845852
Insgesamt,1993,0.145505282
Insgesamt,1994,0.1506918155
Insgesamt,1995,0.1607448415
Insgesamt,1996,0.1667851701
Insgesamt,1997,0.1769243957
Insgesamt,1998,0.1843356065
Insgesamt,1999,0.1989891109
Insgesamt,2000,0.1999730267
Insgesamt,2001,0.2028907563
Insgesamt,2002,0.202631222
Insgesamt,2003,0.2122980251
Insgesamt,2004,0.214554139
Insgesamt,2005,0.2345293812
Insgesamt,2006,0.2523256994
Insgesamt,2007,0.2547563805
Insgesamt,2008,0.2526425682
Insgesamt,2009,0.2488157078
Insgesamt,2010,0.2538881883
Insgesamt,2011,0.2513834504
Insgesamt,2012,0.24441247
Insgesamt,2013,0.2398695707
Insgesamt,2014,0.2334753462
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1991,0.0823289929
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1992,0.0875616689
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1993,0.0915885988
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1994,0.0954135817
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1995,0.1012246267
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1996,0.107567293
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1997,0.115755186
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1998,0.1211338431
Teilzeitbeschäftigte bis zu 20 Wochenstunden,1999,0.1294820041
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2000,0.1322701372
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2001,0.1380168067
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2002,0.1424454089
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2003,0.1512912581
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2004,0.1529870404
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2005,0.1611371122
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2006,0.1633909543
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2007,0.1630096122
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2008,0.1594023229
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2009,0.1597569342
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2010,0.1589226242
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2011,0.1599624608
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2012,0.1571223022
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2013,0.1565467899
Teilzeitbeschäftigte bis zu 20 Wochenstunden,2014,0.1518701836
Geringfügig Beschäftigte,1991,0.0210022941
Geringfügig Beschäftigte,1992,0.0218250727
Geringfügig Beschäftigte,1993,0.0214271477
Geringfügig Beschäftigte,1994,0.0215417602
Geringfügig Beschäftigte,1995,0.0249958061
Geringfügig Beschäftigte,1996,0.0369730828
Geringfügig Beschäftigte,1997,0.0445739757
Geringfügig Beschäftigte,1998,0.051491355
Geringfügig Beschäftigte,1999,0.0586858442
Geringfügig Beschäftigte,2000,0.0584982636
Geringfügig Beschäftigte,2001,0.0605714286
Geringfügig Beschäftigte,2002,0.0623219856
Geringfügig Beschäftigte,2003,0.066427289
Geringfügig Beschäftigte,2004,0.06869666
Geringfügig Beschäftigte,2005,0.0827873115
Geringfügig Beschäftigte,2006,0.0889009167
Geringfügig Beschäftigte,2007,0.0905866755
Geringfügig Beschäftigte,2008,0.0829635913
Geringfügig Beschäftigte,2009,0.08311281
Geringfügig Beschäftigte,2010,0.080382837
Geringfügig Beschäftigte,2011,0.0836218893
Geringfügig Beschäftigte,2012,0.0788169464
Geringfügig Beschäftigte,2013,0.076643029
Geringfügig Beschäftigte,2014,0.0725205188
Befristet Beschäftigte,1991,0.0611651427
Befristet Beschäftigte,1992,0.0631554873
Befristet Beschäftigte,1993,0.0579363497
Befristet Beschäftigte,1994,0.0602030219
Befristet Beschäftigte,1995,0.0647542359
Befristet Beschäftigte,1996,0.0625698324
Befristet Beschäftigte,1997,0.0649751414
Befristet Beschäftigte,1998,0.0674726183
Befristet Beschäftigte,1999,0.0756131483
Befristet Beschäftigte,2000,0.074142756
Befristet Beschäftigte,2001,0.0722352941
Befristet Beschäftigte,2002,0.0676115557
Befristet Beschäftigte,2003,0.069327441
Befristet Beschäftigte,2004,0.0701717416
