year,sector,region,value
1996,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.56
1998,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.52
2000,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.47
2002,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.44
2004,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.42
2006,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.41
2008,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.4
2009,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.38
2010,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.37
2011,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.37
2012,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.36
2013,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.35
2014,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.36
2015,Gesamtwirtschaft,Ostdeutsche Bundesländer,0.37
1996,Gesamtwirtschaft,Westdeutsche Bundesländer,0.7
1998,Gesamtwirtschaft,Westdeutsche Bundesländer,0.68
2000,Gesamtwirtschaft,Westdeutsche Bundesländer,0.63
2002,Gesamtwirtschaft,Westdeutsche Bundesländer,0.63
2004,Gesamtwirtschaft,Westdeutsche Bundesländer,0.61
2006,Gesamtwirtschaft,Westdeutsche Bundesländer,0.57
2008,Gesamtwirtschaft,Westdeutsche Bundesländer,0.55
2009,Gesamtwirtschaft,Westdeutsche Bundesländer,0.56
2010,Gesamtwirtschaft,Westdeutsche Bundesländer,0.56
2011,Gesamtwirtschaft,Westdeutsche Bundesländer,0.54
2012,Gesamtwirtschaft,Westdeutsche Bundesländer,0.53
2013,Gesamtwirtschaft,Westdeutsche Bundesländer,0.52
2014,Gesamtwirtschaft,Westdeutsche Bundesländer,0.53
2015,Gesamtwirtschaft,Westdeutsche Bundesländer,0.51
