category,region,year,value
Unbereinigt,Westdeutsche Bundesländer,2006,0.24
Unbereinigt,Westdeutsche Bundesländer,2010,0.2368286445
Unbereinigt,Westdeutsche Bundesländer,2015,0.2264416315
Unbereinigt,Ostdeutsche Bundesländer,2006,0.06
Unbereinigt,Ostdeutsche Bundesländer,2010,0.0666178624
Unbereinigt,Ostdeutsche Bundesländer,2015,0.0794788274
Bereinigt,Westdeutsche Bundesländer,2006,0.08
Bereinigt,Westdeutsche Bundesländer,2010,0.07
Bereinigt,Ostdeutsche Bundesländer,2006,0.12
Bereinigt,Ostdeutsche Bundesländer,2010,0.09
