year,parents,children,facet,abs,value
1995,Fachhochschul- oder Hochschulreife,Kein Schulabschluss,Insgesamt,19000,0.029
1995,Fachhochschul- oder Hochschulreife,Haupt- oder Realschulabschluss,Insgesamt,227000,0.352
1995,Fachhochschul- oder Hochschulreife,Fachhochschul- oder Hochschulreife,Insgesamt,400000,0.62
1995,Haupt- oder Realschulabschluss,Kein Schulabschluss,Insgesamt,91000,0.027
1995,Haupt- oder Realschulabschluss,Haupt- oder Realschulabschluss,Insgesamt,2608000,0.786
1995,Haupt- oder Realschulabschluss,Fachhochschul- oder Hochschulreife,Insgesamt,619000,0.187
1995,Kein Schulabschluss,Kein Schulabschluss,Insgesamt,26000,0.184
1995,Kein Schulabschluss,Haupt- oder Realschulabschluss,Insgesamt,104000,0.738
1995,Kein Schulabschluss,Fachhochschul- oder Hochschulreife,Insgesamt,11000,0.078
2014,Fachhochschul- oder Hochschulreife,Kein Schulabschluss,Insgesamt,26000,0.024
2014,Fachhochschul- oder Hochschulreife,Haupt- oder Realschulabschluss,Insgesamt,318000,0.296
2014,Fachhochschul- oder Hochschulreife,Fachhochschul- oder Hochschulreife,Insgesamt,730000,0.68
2014,Haupt- oder Realschulabschluss,Kein Schulabschluss,Insgesamt,75000,0.032
2014,Haupt- oder Realschulabschluss,Haupt- oder Realschulabschluss,Insgesamt,1567000,0.671
2014,Haupt- oder Realschulabschluss,Fachhochschul- oder Hochschulreife,Insgesamt,692000,0.296
2014,Kein Schulabschluss,Kein Schulabschluss,Insgesamt,25000,0.166
2014,Kein Schulabschluss,Haupt- oder Realschulabschluss,Insgesamt,95000,0.62
2014,Kein Schulabschluss,Fachhochschul- oder Hochschulreife,Insgesamt,33000,0.213
2014,Fachhochschul- oder Hochschulreife,Kein Schulabschluss,Ledige Kinder in Familien mit Migrationshintergrund,9000,0.036
2014,Fachhochschul- oder Hochschulreife,Haupt- oder Realschulabschluss,Ledige Kinder in Familien mit Migrationshintergrund,85000,0.356
2014,Fachhochschul- oder Hochschulreife,Fachhochschul- oder Hochschulreife,Ledige Kinder in Familien mit Migrationshintergrund,145000,0.608
2014,Haupt- oder Realschulabschluss,Kein Schulabschluss,Ledige Kinder in Familien mit Migrationshintergrund,21000,0.038
2014,Haupt- oder Realschulabschluss,Haupt- oder Realschulabschluss,Ledige Kinder in Familien mit Migrationshintergrund,381000,0.687
2014,Haupt- oder Realschulabschluss,Fachhochschul- oder Hochschulreife,Ledige Kinder in Familien mit Migrationshintergrund,153000,0.275
2014,Kein Schulabschluss,Kein Schulabschluss,Ledige Kinder in Familien mit Migrationshintergrund,19000,0.137
2014,Kein Schulabschluss,Haupt- oder Realschulabschluss,Ledige Kinder in Familien mit Migrationshintergrund,86000,0.632
2014,Kein Schulabschluss,Fachhochschul- oder Hochschulreife,Ledige Kinder in Familien mit Migrationshintergrund,31000,0.231
