facet,facet_value,category,year,value,confidence95_lower,confidence95_upper
gender,Mann,Gewünschte Arbeitszeit,1992,37.80332,37.48000,38.12663
gender,Mann,Gewünschte Arbeitszeit,1993,38.36573,38.04789,38.68357
gender,Mann,Gewünschte Arbeitszeit,1994,38.61823,38.47956,38.75689
gender,Mann,Gewünschte Arbeitszeit,1995,37.52382,37.07878,37.96887
gender,Mann,Gewünschte Arbeitszeit,1996,,,
gender,Mann,Gewünschte Arbeitszeit,1997,38.85549,38.48399,39.22699
gender,Mann,Gewünschte Arbeitszeit,1998,37.56320,37.18496,37.94143
gender,Mann,Gewünschte Arbeitszeit,1999,38.22622,38.01459,38.43786
gender,Mann,Gewünschte Arbeitszeit,2000,38.40361,38.17939,38.62784
gender,Mann,Gewünschte Arbeitszeit,2001,38.71144,38.49295,38.92993
gender,Mann,Gewünschte Arbeitszeit,2002,38.79469,38.46754,39.12184
gender,Mann,Gewünschte Arbeitszeit,2003,38.59851,38.40689,38.79014
gender,Mann,Gewünschte Arbeitszeit,2004,38.92224,38.75105,39.09342
gender,Mann,Gewünschte Arbeitszeit,2005,39.17330,38.88924,39.45735
gender,Mann,Gewünschte Arbeitszeit,2006,39.05718,38.87110,39.24327
gender,Mann,Gewünschte Arbeitszeit,2007,39.31541,39.08409,39.54672
gender,Mann,Gewünschte Arbeitszeit,2008,38.79856,38.49854,39.09858
gender,Mann,Gewünschte Arbeitszeit,2009,39.16168,38.92278,39.40058
gender,Mann,Gewünschte Arbeitszeit,2010,38.65069,38.35191,38.94947
gender,Mann,Gewünschte Arbeitszeit,2011,38.55431,38.13123,38.97739
gender,Mann,Gewünschte Arbeitszeit,2012,38.08988,37.68366,38.49610
gender,Mann,Gewünschte Arbeitszeit,2013,37.96676,37.65152,38.28200
gender,Mann,Gewünschte Arbeitszeit,2014,37.50754,37.12911,37.88597
gender,Mann,Gewünschte Arbeitszeit,2015,37.87322,37.63267,38.11377
gender,Frau,Gewünschte Arbeitszeit,1992, 29.08627,28.38922,29.78331
gender,Frau,Gewünschte Arbeitszeit,1993,30.39675,29.83730,30.95620
gender,Frau,Gewünschte Arbeitszeit,1994,30.38203,30.00387,30.76020
gender,Frau,Gewünschte Arbeitszeit,1995,29.13637,28.84176,29.43098
gender,Frau,Gewünschte Arbeitszeit,1996,,,
gender,Frau,Gewünschte Arbeitszeit,1997,30.53946,29.95775,31.12117
gender,Frau,Gewünschte Arbeitszeit,1998,29.99221,29.51231,30.47212
gender,Frau,Gewünschte Arbeitszeit,1999,30.28682,29.81419,30.75946
gender,Frau,Gewünschte Arbeitszeit,2000,30.21880,29.63604,30.80156
gender,Frau,Gewünschte Arbeitszeit,2001,30.42455,29.99492,30.85419
gender,Frau,Gewünschte Arbeitszeit,2002,29.73498,29.47565,29.99432
gender,Frau,Gewünschte Arbeitszeit,2003,29.97854,29.67702,30.28006
gender,Frau,Gewünschte Arbeitszeit,2004,30.41797,30.11858,30.71737
gender,Frau,Gewünschte Arbeitszeit,2005,30.72982,30.33847,31.12116
gender,Frau,Gewünschte Arbeitszeit,2006,30.79834,30.53139,31.06529
gender,Frau,Gewünschte Arbeitszeit,2007,30.92560,30.72692,31.12427
gender,Frau,Gewünschte Arbeitszeit,2008,30.65534,30.29095,31.01974
gender,Frau,Gewünschte Arbeitszeit,2009,31.17628,30.92860,31.42396
gender,Frau,Gewünschte Arbeitszeit,2010,30.94595,30.52405,31.36784
gender,Frau,Gewünschte Arbeitszeit,2011,31.42645,31.04579,31.80710
gender,Frau,Gewünschte Arbeitszeit,2012,31.13128,30.97396,31.28860
gender,Frau,Gewünschte Arbeitszeit,2013,31.11920,30.58204,31.65637
gender,Frau,Gewünschte Arbeitszeit,2014,30.95093,30.62422,31.27765
gender,Frau,Gewünschte Arbeitszeit,2015,30.79953,30.61476,30.98430
gender,Mann,Tatsächliche Arbeitszeit,1992,42.86171,42.48208,43.24133
gender,Mann,Tatsächliche Arbeitszeit,1993,42.63744,42.42341,42.85148
gender,Mann,Tatsächliche Arbeitszeit,1994,42.62932,42.26364,42.99500
gender,Mann,Tatsächliche Arbeitszeit,1995,42.76788,42.39325,43.14251
gender,Mann,Tatsächliche Arbeitszeit,1996,42.71387,42.37701,43.05073
gender,Mann,Tatsächliche Arbeitszeit,1997,43.03196,42.67463,43.38929
gender,Mann,Tatsächliche Arbeitszeit,1998,42.75392,42.49273,43.01511
gender,Mann,Tatsächliche Arbeitszeit,1999,42.74036,42.54745,42.93328
gender,Mann,Tatsächliche Arbeitszeit,2000,42.99833,42.64151,43.35515
gender,Mann,Tatsächliche Arbeitszeit,2001,42.96853,42.69716,43.23991
gender,Mann,Tatsächliche Arbeitszeit,2002,43.14741,42.87294,43.42189
gender,Mann,Tatsächliche Arbeitszeit,2003,42.58010,42.36961,42.79058
gender,Mann,Tatsächliche Arbeitszeit,2004,42.57809,42.16730,42.98887
gender,Mann,Tatsächliche Arbeitszeit,2005,42.93492,42.62505,43.24480
gender,Mann,Tatsächliche Arbeitszeit,2006,42.97068,42.48269,43.45868
gender,Mann,Tatsächliche Arbeitszeit,2007,43.43169,43.04741,43.81597
