group,krs,value
Unter-3-Jährige,1001,0.149
Unter-3-Jährige,1002,0.302
Unter-3-Jährige,1003,0.237
Unter-3-Jährige,1004,0.139
Unter-3-Jährige,1051,0.026
Unter-3-Jährige,1053,0.187
Unter-3-Jährige,1054,0.090
Unter-3-Jährige,1055,0.071
Unter-3-Jährige,1056,0.132
Unter-3-Jährige,1057,0.086
Unter-3-Jährige,1058,0.061
Unter-3-Jährige,1059,0.053
Unter-3-Jährige,1060,0.148
Unter-3-Jährige,1061,0.047
Unter-3-Jährige,1062,0.186
Unter-3-Jährige,2000,0.229
Unter-3-Jährige,3101,0.149
Unter-3-Jährige,3102,0.112
Unter-3-Jährige,3103,0.265
Unter-3-Jährige,3151,0.106
Unter-3-Jährige,3152,0.196
Unter-3-Jährige,3153,0.125
Unter-3-Jährige,3154,0.185
Unter-3-Jährige,3155,0.084
Unter-3-Jährige,3156,0.062
Unter-3-Jährige,3157,0.106
Unter-3-Jährige,3158,0.120
Unter-3-Jährige,3241,0.214
Unter-3-Jährige,3251,0.048
Unter-3-Jährige,3252,0.121
Unter-3-Jährige,3254,0.144
Unter-3-Jährige,3255,0.043
Unter-3-Jährige,3256,0.046
Unter-3-Jährige,3257,0.102
Unter-3-Jährige,3351,0.127
Unter-3-Jährige,3352,0.086
Unter-3-Jährige,3353,0.199
Unter-3-Jährige,3354,0.028
Unter-3-Jährige,3355,0.140
Unter-3-Jährige,3356,0.035
Unter-3-Jährige,3357,0.037
Unter-3-Jährige,3358,0.067
Unter-3-Jährige,3359,0.114
Unter-3-Jährige,3360,0.101
Unter-3-Jährige,3361,0.065
Unter-3-Jährige,3401,0.064
Unter-3-Jährige,3402,0.119
Unter-3-Jährige,3403,0.156
Unter-3-Jährige,3404,0.253
Unter-3-Jährige,3405,0.066
Unter-3-Jährige,3451,0.054
Unter-3-Jährige,3452,0.056
Unter-3-Jährige,3453,0.028
Unter-3-Jährige,3454,0.065
Unter-3-Jährige,3455,0.053
Unter-3-Jährige,3456,0.031
Unter-3-Jährige,3457,0.026
Unter-3-Jährige,3458,0.031
Unter-3-Jährige,3459,0.059
Unter-3-Jährige,3460,0.027
