group,year,value
Unter-3-Jährige,2006,0.065
Unter-3-Jährige,2007,0.073
Unter-3-Jährige,2008,0.083
Unter-3-Jährige,2009,0.099
Unter-3-Jährige,2010,0.116
Unter-3-Jährige,2011,0.129
Unter-3-Jährige,2012,0.146
Unter-3-Jährige,2013,0.158
Unter-3-Jährige,2014,0.175
Unter-3-Jährige,2015,0.181
Unter-3-Jährige,2016,0.183
3- bis Unter-6-Jährige,2006,0.221
3- bis Unter-6-Jährige,2007,0.243
3- bis Unter-6-Jährige,2008,0.271
3- bis Unter-6-Jährige,2009,0.299
3- bis Unter-6-Jährige,2010,0.323
3- bis Unter-6-Jährige,2011,0.349
3- bis Unter-6-Jährige,2012,0.371
3- bis Unter-6-Jährige,2013,0.393
3- bis Unter-6-Jährige,2014,0.417
3- bis Unter-6-Jährige,2015,0.439
3- bis Unter-6-Jährige,2016,0.448
