region,facet,facet_value,year,value
Deutschland,Zeitaufwand,kein Pendler 2),1991,0.035
Deutschland,Zeitaufwand,kein Pendler 2),1994,0.039
Deutschland,Zeitaufwand,kein Pendler 2),1996,0.041
Deutschland,Zeitaufwand,kein Pendler 2),2000,0.039
Deutschland,Zeitaufwand,kein Pendler 2),2004,0.035
Deutschland,Zeitaufwand,kein Pendler 2),2008,0.037
Deutschland,Zeitaufwand,kein Pendler 2),2012,0.048
Deutschland,Zeitaufwand,kein Pendler 2),2016,0.041
Deutschland,Zeitaufwand,unter 10 Minuten,1991,0.234
Deutschland,Zeitaufwand,unter 10 Minuten,1994,0.256
Deutschland,Zeitaufwand,unter 10 Minuten,1996,0.264
Deutschland,Zeitaufwand,unter 10 Minuten,2000,0.262
Deutschland,Zeitaufwand,unter 10 Minuten,2004,0.266
Deutschland,Zeitaufwand,unter 10 Minuten,2008,0.26
Deutschland,Zeitaufwand,unter 10 Minuten,2012,0.224
Deutschland,Zeitaufwand,unter 10 Minuten,2016,0.218
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,1991,0.512
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,1994,0.483
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,1996,0.48
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,2000,0.474
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,2004,0.475
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,2008,0.468
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,2012,0.469
Deutschland,Zeitaufwand,10 bis unter 30 Minuten,2016,0.472
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,1991,0.175
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,1994,0.179
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,1996,0.166
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,2000,0.174
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,2004,0.174
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,2008,0.188
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,2012,0.212
Deutschland,Zeitaufwand,30 bis unter 60 Minuten,2016,0.22
Deutschland,Zeitaufwand,60 Minuten oder länger,1991,0.044
Deutschland,Zeitaufwand,60 Minuten oder länger,1994,0.042
Deutschland,Zeitaufwand,60 Minuten oder länger,1996,0.048
Deutschland,Zeitaufwand,60 Minuten oder länger,2000,0.051
Deutschland,Zeitaufwand,60 Minuten oder länger,2004,0.05
Deutschland,Zeitaufwand,60 Minuten oder länger,2008,0.047
Deutschland,Zeitaufwand,60 Minuten oder länger,2012,0.047
Deutschland,Zeitaufwand,60 Minuten oder länger,2016,0.049
Deutschland,Zeitaufwand,30 Minuten oder länger,1991,0.219
Deutschland,Zeitaufwand,30 Minuten oder länger,1994,0.221
Deutschland,Zeitaufwand,30 Minuten oder länger,1996,0.214
Deutschland,Zeitaufwand,30 Minuten oder länger,2000,0.225
Deutschland,Zeitaufwand,30 Minuten oder länger,2004,0.224
Deutschland,Zeitaufwand,30 Minuten oder länger,2008,0.235
Deutschland,Zeitaufwand,30 Minuten oder länger,2012,0.259
Deutschland,Zeitaufwand,30 Minuten oder länger,2016,0.269
sehr zentral,Zeitaufwand,kein Pendler 2),2000,0.032
sehr zentral,Zeitaufwand,kein Pendler 2),2004,0.028
sehr zentral,Zeitaufwand,kein Pendler 2),2008,0.031
sehr zentral,Zeitaufwand,kein Pendler 2),2012,0.041
sehr zentral,Zeitaufwand,kein Pendler 2),2016,0.036
sehr zentral,Zeitaufwand,unter 10 Minuten,2000,0.213
sehr zentral,Zeitaufwand,unter 10 Minuten,2004,0.22
sehr zentral,Zeitaufwand,unter 10 Minuten,2008,0.207
sehr zentral,Zeitaufwand,unter 10 Minuten,2012,0.183
sehr zentral,Zeitaufwand,unter 10 Minuten,2016,0.173
sehr zentral,Zeitaufwand,10 bis unter 30 Minuten,2000,0.495
sehr zentral,Zeitaufwand,10 bis unter 30 Minuten,2004,0.495
sehr zentral,Zeitaufwand,10 bis unter 30 Minuten,2008,0.488
sehr zentral,Zeitaufwand,10 bis unter 30 Minuten,2012,0.474
sehr zentral,Zeitaufwand,10 bis unter 30 Minuten,2016,0.474
sehr zentral,Zeitaufwand,30 bis unter 60 Minuten,2000,0.214
sehr zentral,Zeitaufwand,30 bis unter 60 Minuten,2004,0.211
sehr zentral,Zeitaufwand,30 bis unter 60 Minuten,2008,0.226
sehr zentral,Zeitaufwand,30 bis unter 60 Minuten,2012,0.253
sehr zentral,Zeitaufwand,30 bis unter 60 Minuten,2016,0.264
sehr zentral,Zeitaufwand,60 Minuten oder länger,2000,0.047
sehr zentral,Zeitaufwand,60 Minuten oder länger,2004,0.046
