percentile,value
1,5298.959
2,6718.58
3,7356.039
4,7935.667
5,8383.16
6,8790.918
7,9235.572
8,9553.89
9,9827.814
10,10195.04
11,10491.96
12,10844.84
13,11101.23
14,11371.81
15,11661.49
16,11935.86
17,12203.72
18,12422.33
19,12672.66
20,12933.73
21,13148.53
22,13394.91
23,13602.65
24,13835.38
25,14067.49
26,14305.58
27,14555.57
28,14782.8
29,14975.97
30,15171.24
31,15367.08
32,15606.43
33,15821.38
34,16075.05
35,16315.99
36,16512.77
37,16691.26
38,16920.53
39,17135.92
40,17369.02
41,17530.3
42,17738.88
43,17953.33
44,18138.76
45,18340.59
46,18642.38
47,18907.6
48,19106.32
49,19331.44
50,19596.97
51,19842.95
52,20039.73
53,20298.33
54,20495.74
55,20711.81
56,20984.37
57,21272.47
58,21465.78
59,21765.37
60,22076.95
61,22313.15
62,22593.5
63,22928.1
64,23222.96
65,23523.81
66,23815.83
67,24129.09
68,24473.58
69,24820.45
70,25152.32
71,25547.15
72,25931.43
73,26265.11
74,26747.4
75,27246.45
76,27725.01
77,28262.38
78,28648.17
79,29043.52
80,29489.12
81,30048.88
82,30539.79
83,31144.75
84,31726.27
85,32220.12
86,32844.53
87,33710.25
88,34507.73
89,35410.91
90,36402.29
91,37555.35
92,39278.46
93,41060.13
94,42886.88
95,45232.54
96,47895.93
97,53047.3
98,58468.3
99,73195.84
