region,year,value,confidence95_lower,confidence95_upper
Deutschland,1991,18113.00,17886.28,18339.66
Deutschland,1992,18433.00,18123.15,18742.31
Deutschland,1993,18378.00,18099.38,18656.78
Deutschland,1994,17990.00,17748.10,18231.70
Deutschland,1995,18122.00,17894.08,18349.39
Deutschland,1996,18303.00,17992.37,18612.69
Deutschland,1997,18229.00,17969.05,18488.24
Deutschland,1998,18676.00,18426.36,18926.06
Deutschland,1999,19297.00,18993.31,19601.28
Deutschland,2000,19364.00,19177.22,19550.91
Deutschland,2001,19012.00,18758.67,19265.74
Deutschland,2002,19418.00,19193.96,19642.16
Deutschland,2003,19256.00,18960.94,19552.02
Deutschland,2004,19136.00,18867.01,19405.18
Deutschland,2005,18996.00,18726.01,19266.26
Deutschland,2006,19017.00,18777.78,19256.29
Deutschland,2007,19337.00,19050.55,19622.94
Deutschland,2008,19138.00,18729.27,19547.56
Deutschland,2009,19880.00,19569.34,20190.24
Deutschland,2010,19815.00,19341.67,20288.33
Deutschland,2011,19568.00,19269.69,19865.80
Deutschland,2012,19589.00,19199.54,19978.03
Deutschland,2013,19476.00,19130.50,19821.25
Deutschland,2014,19812.00,19423.77,20201.00
Ostdeutsche Bundesländer,1991,14859.00,14563.40,15153.70
Ostdeutsche Bundesländer,1992,15372.00,15212.09,15531.01
Ostdeutsche Bundesländer,1993,15486.00,15214.83,15756.30
Ostdeutsche Bundesländer,1994,15788.00,15531.86,16043.19
Ostdeutsche Bundesländer,1995,16019.00,15835.83,16201.44
Ostdeutsche Bundesländer,1996,16140.00,15931.80,16347.87
Ostdeutsche Bundesländer,1997,16257.00,16060.71,16454.19
Ostdeutsche Bundesländer,1998,16472.00,16311.18,16632.22
Ostdeutsche Bundesländer,1999,17206.00,16983.88,17427.18
Ostdeutsche Bundesländer,2000,17078.00,16815.41,17340.95
Ostdeutsche Bundesländer,2001,17015.00,16808.34,17220.64
Ostdeutsche Bundesländer,2002,17186.00,16980.21,17392.26
Ostdeutsche Bundesländer,2003,16926.00,16588.13,17263.43
Ostdeutsche Bundesländer,2004,16515.00,16087.72,16942.50
Ostdeutsche Bundesländer,2005,16254.00,15784.49,16723.62
Ostdeutsche Bundesländer,2006,16565.00,16201.33,16928.85
Ostdeutsche Bundesländer,2007,16671.00,15999.61,17342.05
Ostdeutsche Bundesländer,2008,16947.00,16463.28,17431.24
Ostdeutsche Bundesländer,2009,17112.00,16477.49,17745.63
Ostdeutsche Bundesländer,2010,17437.00,16731.74,18141.59
Ostdeutsche Bundesländer,2011,17152.00,16792.93,17510.69
Ostdeutsche Bundesländer,2012,17085.00,16661.39,17508.32
Ostdeutsche Bundesländer,2013,16874.00,16424.28,17324.07
Ostdeutsche Bundesländer,2014,17042.00,16524.76,17559.04
Westdeutsche Bundesländer,1991,19111.00,18674.93,19547.08
Westdeutsche Bundesländer,1992,19482.00,19141.53,19821.93
Westdeutsche Bundesländer,1993,19493.00,19133.38,19852.36
Westdeutsche Bundesländer,1994,18784.00,18380.92,19186.42
Westdeutsche Bundesländer,1995,18689.00,18436.18,18942.21
Westdeutsche Bundesländer,1996,18945.00,18597.49,19292.08
Westdeutsche Bundesländer,1997,18983.00,18619.36,19345.75
Westdeutsche Bundesländer,1998,19362.00,18888.05,19835.11
Westdeutsche Bundesländer,1999,20137.00,19594.21,20679.62
Westdeutsche Bundesländer,2000,20031.00,19833.56,20228.25
Westdeutsche Bundesländer,2001,19566.00,19240.46,19892.26
Westdeutsche Bundesländer,2002,20036.00,19641.02,20431.71
Westdeutsche Bundesländer,2003,19835.00,19515.84,20153.81
Westdeutsche Bundesländer,2004,19836.00,19468.88,20202.55
Westdeutsche Bundesländer,2005,19590.00,19266.50,19913.42
Westdeutsche Bundesländer,2006,19765.00,19533.76,19996.59
Westdeutsche Bundesländer,2007,20119.00,19766.65,20470.60
Westdeutsche Bundesländer,2008,19988.00,19463.43,20512.23
Westdeutsche Bundesländer,2009,20469.00,20148.93,20788.38
Westdeutsche Bundesländer,2010,20533.00,20202.76,20863.90
Westdeutsche Bundesländer,2011,20350.00,20030.12,20670.37
Westdeutsche Bundesländer,2012,20177.00,19800.63,20552.51
Westdeutsche Bundesländer,2013,20252.00,19945.83,20557.48
Westdeutsche Bundesländer,2014,20462.00,20015.50,20909.19
