category,year,value,confidence95_lower,confidence95_upper
Gini nach Steuern und Transfers,1991,0.2464900,0.2396349,0.2533471
Gini nach Steuern und Transfers,1992,0.2508000,0.2464401,0.2551626
Gini nach Steuern und Transfers,1993,0.2522100,0.2434054,0.2610214
Gini nach Steuern und Transfers,1994,0.2598200,0.2528152,0.2668282
Gini nach Steuern und Transfers,1995,0.2547800,0.2458139,0.2637420
Gini nach Steuern und Transfers,1996,0.2488200,0.2416242,0.2560225
Gini nach Steuern und Transfers,1997,0.2497100,0.2407948,0.2586347
Gini nach Steuern und Transfers,1998,0.2496300,0.2431892,0.2560694
Gini nach Steuern und Transfers,1999,0.2484100,0.2429765,0.2538418
Gini nach Steuern und Transfers,2000,0.2546500,0.2488383,0.2604545
Gini nach Steuern und Transfers,2001,0.2587200,0.2522128,0.2652189
Gini nach Steuern und Transfers,2002,0.2683800,0.2625702,0.2741856
Gini nach Steuern und Transfers,2003,0.2682800,0.2614241,0.2751297
Gini nach Steuern und Transfers,2004,0.2727000,0.2650567,0.2803441
Gini nach Steuern und Transfers,2005,0.2883500,0.2769317,0.2997595
Gini nach Steuern und Transfers,2006,0.2863100,0.2783918,0.2942299
Gini nach Steuern und Transfers,2007,0.2851800,0.2769743,0.2933851
Gini nach Steuern und Transfers,2008,0.2842900,0.2760815,0.2925014
Gini nach Steuern und Transfers,2009,0.2797000,0.2725439,0.2868528
Gini nach Steuern und Transfers,2010,0.2814800,0.2742259,0.2887305
Gini nach Steuern und Transfers,2011,0.2853500,0.2767784,0.2939134
Gini nach Steuern und Transfers,2012,0.2854300,0.2774899,0.2933719
Gini nach Steuern und Transfers,2013,0.2919500,0.2868685,0.2970280
Gini nach Steuern und Transfers,2014,0.2897300,0.2813457,0.2981073
Gini vor Steuern und Transfers,1991,0.4085200,0.3995113,0.4175362
Gini vor Steuern und Transfers,1992,0.4184200,0.4128526,0.4239788
Gini vor Steuern und Transfers,1993,0.4227900,0.4121292,0.4334529
Gini vor Steuern und Transfers,1994,0.4380200,0.4289939,0.4470510
Gini vor Steuern und Transfers,1995,0.4434900,0.4315484,0.4554305
Gini vor Steuern und Transfers,1996,0.4443300,0.4340864,0.4545681
Gini vor Steuern und Transfers,1997,0.4511600,0.4378317,0.4644935
Gini vor Steuern und Transfers,1998,0.4453400,0.4357852,0.4548924
Gini vor Steuern und Transfers,1999,0.4473200,0.4409331,0.4537082
Gini vor Steuern und Transfers,2000,0.4534400,0.4466953,0.4601760
Gini vor Steuern und Transfers,2001,0.4606000,0.4536546,0.4675454
Gini vor Steuern und Transfers,2002,0.4749500,0.4703074,0.4795841
Gini vor Steuern und Transfers,2003,0.4797500,0.4742523,0.4852450
Gini vor Steuern und Transfers,2004,0.4805500,0.4715062,0.4895961
Gini vor Steuern und Transfers,2005,0.4945400,0.4812601,0.5078218
Gini vor Steuern und Transfers,2006,0.4919100,0.4824342,0.5013851
Gini vor Steuern und Transfers,2007,0.4848800,0.4761369,0.4936207
Gini vor Steuern und Transfers,2008,0.4781500,0.4684895,0.4878194
Gini vor Steuern und Transfers,2009,0.4707700,0.4596898,0.4818532
Gini vor Steuern und Transfers,2010,0.4784700,0.4701381,0.4868006
Gini vor Steuern und Transfers,2011,0.4808800,0.4724890,0.4892742
Gini vor Steuern und Transfers,2012,0.4825300,0.4733173,0.4917329
Gini vor Steuern und Transfers,2013,0.4924600,0.4849237,0.5000043
Gini vor Steuern und Transfers,2014,0.4851400,0.4763633,0.4939121
