year,scenario,type,value
2010,Standard-Szenario,,29.7407108716
2011,Standard-Szenario,,30.2238051896
2012,Standard-Szenario,,29.8744906068
2013,Standard-Szenario,,29.6871719653
2013,Standard-Szenario,Prognose,29.6871719653
2014,Standard-Szenario,Prognose,29.7
2015,Standard-Szenario,Prognose,29.9
2016,Standard-Szenario,Prognose,30.2
2017,Standard-Szenario,Prognose,30.6
2018,Standard-Szenario,Prognose,30.9
2019,Standard-Szenario,Prognose,31.4
2020,Standard-Szenario,Prognose,31.8
2021,Standard-Szenario,Prognose,32.3
2022,Standard-Szenario,Prognose,32.9
2023,Standard-Szenario,Prognose,33.5
2024,Standard-Szenario,Prognose,34.2
2025,Standard-Szenario,Prognose,35
2026,Standard-Szenario,Prognose,35.9
2027,Standard-Szenario,Prognose,36.9
2028,Standard-Szenario,Prognose,38.1
2029,Standard-Szenario,Prognose,39.3
2030,Standard-Szenario,Prognose,40.6
2031,Standard-Szenario,Prognose,41.9
2032,Standard-Szenario,Prognose,43.2
2033,Standard-Szenario,Prognose,44.5
2034,Standard-Szenario,Prognose,45.7
2035,Standard-Szenario,Prognose,46.8
2036,Standard-Szenario,Prognose,47.7
2037,Standard-Szenario,Prognose,48.4
2038,Standard-Szenario,Prognose,48.9
2039,Standard-Szenario,Prognose,49.1
2040,Standard-Szenario,Prognose,49
2041,Standard-Szenario,Prognose,49
2042,Standard-Szenario,Prognose,48.8
2043,Standard-Szenario,Prognose,48.8
2044,Standard-Szenario,Prognose,48.7
2045,Standard-Szenario,Prognose,48.8
2046,Standard-Szenario,Prognose,48.8
2047,Standard-Szenario,Prognose,49
2048,Standard-Szenario,Prognose,49.2
2049,Standard-Szenario,Prognose,49.5
2050,Standard-Szenario,Prognose,49.7
2051,Standard-Szenario,Prognose,49.8
2052,Standard-Szenario,Prognose,50.1
2053,Standard-Szenario,Prognose,50.4
2054,Standard-Szenario,Prognose,50.9
2055,Standard-Szenario,Prognose,51.5
2056,Standard-Szenario,Prognose,52
2057,Standard-Szenario,Prognose,52.6
2058,Standard-Szenario,Prognose,53
2059,Standard-Szenario,Prognose,53.3
2060,Standard-Szenario,Prognose,53.5
2010,relativ alte Bevölkerung,,29.7407108716
2011,relativ alte Bevölkerung,,30.2238051896
2012,relativ alte Bevölkerung,,29.8744906068
2013,relativ alte Bevölkerung,,29.6871719653
2013,relativ alte Bevölkerung,Prognose,29.6871719653
2014,relativ alte Bevölkerung,Prognose,29.7
2015,relativ alte Bevölkerung,Prognose,29.9
2016,relativ alte Bevölkerung,Prognose,30.2
2017,relativ alte Bevölkerung,Prognose,30.6
2018,relativ alte Bevölkerung,Prognose,31
2019,relativ alte Bevölkerung,Prognose,31.5
2020,relativ alte Bevölkerung,Prognose,31.9
2021,relativ alte Bevölkerung,Prognose,32.5
2022,relativ alte Bevölkerung,Prognose,33.1
2023,relativ alte Bevölkerung,Prognose,33.8
2024,relativ alte Bevölkerung,Prognose,34.5
2025,relativ alte Bevölkerung,Prognose,35.4
2026,relativ alte Bevölkerung,Prognose,36.4
2027,relativ alte Bevölkerung,Prognose,37.4
2028,relativ alte Bevölkerung,Prognose,38.6
2029,relativ alte Bevölkerung,Prognose,39.9
2030,relativ alte Bevölkerung,Prognose,41.3
2031,relativ alte Bevölkerung,Prognose,42.7
2032,relativ alte Bevölkerung,Prognose,44.1
2033,relativ alte Bevölkerung,Prognose,45.5
2034,relativ alte Bevölkerung,Prognose,46.8
2035,relativ alte Bevölkerung,Prognose,48
2036,relativ alte Bevölkerung,Prognose,49
2037,relativ alte Bevölkerung,Prognose,49.7
2038,relativ alte Bevölkerung,Prognose,50.3
2039,relativ alte Bevölkerung,Prognose,50.6
2040,relativ alte Bevölkerung,Prognose,50.7
2041,relativ alte Bevölkerung,Prognose,50.7
2042,relativ alte Bevölkerung,Prognose,50.7
2043,relativ alte Bevölkerung,Prognose,50.7
2044,relativ alte Bevölkerung,Prognose,50.8
2045,relativ alte Bevölkerung,Prognose,50.9
2046,relativ alte Bevölkerung,Prognose,51.1
2047,relativ alte Bevölkerung,Prognose,51.4
2048,relativ alte Bevölkerung,Prognose,51.7
2049,relativ alte Bevölkerung,Prognose,52.1
2050,relativ alte Bevölkerung,Prognose,52.4
2051,relativ alte Bevölkerung,Prognose,52.7
2052,relativ alte Bevölkerung,Prognose,53.1
2053,relativ alte Bevölkerung,Prognose,53.6
2054,relativ alte Bevölkerung,Prognose,54.1
2055,relativ alte Bevölkerung,Prognose,54.8
2056,relativ alte Bevölkerung,Prognose,55.5
2057,relativ alte Bevölkerung,Prognose,56.2
2058,relativ alte Bevölkerung,Prognose,56.7
2059,relativ alte Bevölkerung,Prognose,57
2060,relativ alte Bevölkerung,Prognose,57.4
2010,relativ junge Bevölkerung,,29.7407108716
2011,relativ junge Bevölkerung,,30.2238051896
2012,relativ junge Bevölkerung,,29.8744906068
2013,relativ junge Bevölkerung,,29.6871719653
2013,relativ junge Bevölkerung,Prognose,29.6871719653
2014,relativ junge Bevölkerung,Prognose,29.7
2015,relativ junge Bevölkerung,Prognose,29.9
2016,relativ junge Bevölkerung,Prognose,30.2
2017,relativ junge Bevölkerung,Prognose,30.6
2018,relativ junge Bevölkerung,Prognose,30.9
2019,relativ junge Bevölkerung,Prognose,31.4
2020,relativ junge Bevölkerung,Prognose,31.8
2021,relativ junge Bevölkerung,Prognose,32.3
2022,relativ junge Bevölkerung,Prognose,32.9
2023,relativ junge Bevölkerung,Prognose,33.5
2024,relativ junge Bevölkerung,Prognose,34.2
2025,relativ junge Bevölkerung,Prognose,35
2026,relativ junge Bevölkerung,Prognose,35.9
2027,relativ junge Bevölkerung,Prognose,36.9
2028,relativ junge Bevölkerung,Prognose,38.1
2029,relativ junge Bevölkerung,Prognose,39.3
2030,relativ junge Bevölkerung,Prognose,40.6
2031,relativ junge Bevölkerung,Prognose,41.9
2032,relativ junge Bevölkerung,Prognose,43.2
2033,relativ junge Bevölkerung,Prognose,44.5
2034,relativ junge Bevölkerung,Prognose,45.7
2035,relativ junge Bevölkerung,Prognose,46.8
2036,relativ junge Bevölkerung,Prognose,47.7
2037,relativ junge Bevölkerung,Prognose,48.3
2038,relativ junge Bevölkerung,Prognose,48.8
2039,relativ junge Bevölkerung,Prognose,48.9
2040,relativ junge Bevölkerung,Prognose,48.8
2041,relativ junge Bevölkerung,Prognose,48.7
2042,relativ junge Bevölkerung,Prognose,48.5
2043,relativ junge Bevölkerung,Prognose,48.3
2044,relativ junge Bevölkerung,Prognose,48.2
2045,relativ junge Bevölkerung,Prognose,48.1
2046,relativ junge Bevölkerung,Prognose,48.1
2047,relativ junge Bevölkerung,Prognose,48.2
2048,relativ junge Bevölkerung,Prognose,48.3
2049,relativ junge Bevölkerung,Prognose,48.5
2050,relativ junge Bevölkerung,Prognose,48.6
2051,relativ junge Bevölkerung,Prognose,48.7
2052,relativ junge Bevölkerung,Prognose,48.8
2053,relativ junge Bevölkerung,Prognose,49
2054,relativ junge Bevölkerung,Prognose,49.4
2055,relativ junge Bevölkerung,Prognose,49.8
2056,relativ junge Bevölkerung,Prognose,50.3
2057,relativ junge Bevölkerung,Prognose,50.7
2058,relativ junge Bevölkerung,Prognose,51
2059,relativ junge Bevölkerung,Prognose,51.2
2060,relativ junge Bevölkerung,Prognose,51.3
