category,facet,facet_value,concern,value
Allgemein,,,gar nicht,0.416
Allgemein,,,etwas,0.413
Allgemein,,,ziemlich,0.124
Allgemein,,,sehr stark,0.047
Körperverletzung,,,gar nicht,0.535
Körperverletzung,,,etwas,0.299
Körperverletzung,,,ziemlich,0.073
Körperverletzung,,,sehr stark,0.093
Einbruch,,,gar nicht,0.427
Einbruch,,,etwas,0.39
Einbruch,,,ziemlich,0.077
Einbruch,,,sehr stark,0.107
Raub,,,gar nicht,0.464
Raub,,,etwas,0.352
Raub,,,ziemlich,0.074
Raub,,,sehr stark,0.11
Sexuelle Belästigung,,,gar nicht,0.692
Sexuelle Belästigung,,,etwas,0.167
Sexuelle Belästigung,,,ziemlich,0.047
Sexuelle Belästigung,,,sehr stark,0.093
Allgemein,Bundesland,Baden-Württemberg,ziemlich & sehr stark,0.121
Allgemein,Bundesland,Bayern,ziemlich & sehr stark,0.123
Allgemein,Bundesland,Berlin,ziemlich & sehr stark,0.237
Allgemein,Bundesland,Brandenburg,ziemlich & sehr stark,0.235
Allgemein,Bundesland,Bremen,ziemlich & sehr stark,0.262
Allgemein,Bundesland,Hamburg,ziemlich & sehr stark,0.213
Allgemein,Bundesland,Hessen,ziemlich & sehr stark,0.156
Allgemein,Bundesland,Mecklenburg-Vorpommern,ziemlich & sehr stark,0.224
Allgemein,Bundesland,Niedersachsen,ziemlich & sehr stark,0.138
Allgemein,Bundesland,Nordrhein-Westfalen,ziemlich & sehr stark,0.196
Allgemein,Bundesland,Rheinland-Pfalz,ziemlich & sehr stark,0.153
Allgemein,Bundesland,Saarland,ziemlich & sehr stark,0.165
Allgemein,Bundesland,Sachsen,ziemlich & sehr stark,0.221
Allgemein,Bundesland,Sachsen-Anhalt,ziemlich & sehr stark,0.262
Allgemein,Bundesland,Schleswig-Holstein,ziemlich & sehr stark,0.197
Allgemein,Bundesland,Thüringen,ziemlich & sehr stark,0.189
Allgemein,Geschlecht,weiblich,gar nicht,0.29
