category,year,type,value
Gewaltkriminalität,1993,erfasste Fälle,160680
Gewaltkriminalität,1994,erfasste Fälle,156272
Gewaltkriminalität,1995,erfasste Fälle,170170
Gewaltkriminalität,1996,erfasste Fälle,179455
Gewaltkriminalität,1997,erfasste Fälle,186447
Gewaltkriminalität,1998,erfasste Fälle,186306
Gewaltkriminalität,1999,erfasste Fälle,186655
Gewaltkriminalität,2000,erfasste Fälle,187103
Gewaltkriminalität,2001,erfasste Fälle,188413
Gewaltkriminalität,2002,erfasste Fälle,197492
Gewaltkriminalität,2003,erfasste Fälle,204124
Gewaltkriminalität,2004,erfasste Fälle,211172
Gewaltkriminalität,2005,erfasste Fälle,212832
Gewaltkriminalität,2006,erfasste Fälle,215471
Gewaltkriminalität,2007,erfasste Fälle,217923
Gewaltkriminalität,2008,erfasste Fälle,210885
Gewaltkriminalität,2009,erfasste Fälle,208446
Gewaltkriminalität,2010,erfasste Fälle,201243
Gewaltkriminalität,2011,erfasste Fälle,197030
Gewaltkriminalität,2012,erfasste Fälle,195143
Gewaltkriminalität,2013,erfasste Fälle,184847
Gewaltkriminalität,2014,erfasste Fälle,180955
Gewaltkriminalität,2015,erfasste Fälle,181386
Gewaltkriminalität,1993,aufgeklärte Fälle,105033
Gewaltkriminalität,1994,aufgeklärte Fälle,105220
Gewaltkriminalität,1995,aufgeklärte Fälle,116077
Gewaltkriminalität,1996,aufgeklärte Fälle,124124
Gewaltkriminalität,1997,aufgeklärte Fälle,130006
Gewaltkriminalität,1998,aufgeklärte Fälle,133975
Gewaltkriminalität,1999,aufgeklärte Fälle,135991
Gewaltkriminalität,2000,aufgeklärte Fälle,137184
Gewaltkriminalität,2001,aufgeklärte Fälle,139096
Gewaltkriminalität,2002,aufgeklärte Fälle,146858
Gewaltkriminalität,2003,aufgeklärte Fälle,151344
Gewaltkriminalität,2004,aufgeklärte Fälle,158093
Gewaltkriminalität,2005,aufgeklärte Fälle,160204
Gewaltkriminalität,2006,aufgeklärte Fälle,162535
Gewaltkriminalität,2007,aufgeklärte Fälle,163692
Gewaltkriminalität,2008,aufgeklärte Fälle,159178
Gewaltkriminalität,2009,aufgeklärte Fälle,156979
Gewaltkriminalität,2010,aufgeklärte Fälle,151617
Gewaltkriminalität,2011,aufgeklärte Fälle,148266
Gewaltkriminalität,2012,aufgeklärte Fälle,144339
Gewaltkriminalität,2013,aufgeklärte Fälle,137690
Gewaltkriminalität,2014,aufgeklärte Fälle,135318
Gewaltkriminalität,2015,aufgeklärte Fälle,135835
Gewaltkriminalität,1993,Aufklärungsquoten,0.653678118
Gewaltkriminalität,1994,Aufklärungsquoten,0.6733131975
Gewaltkriminalität,1995,Aufklärungsquoten,0.6821237586
Gewaltkriminalität,1996,Aufklärungsquoten,0.6916720069
Gewaltkriminalität,1997,Aufklärungsquoten,0.6972812649
Gewaltkriminalität,1998,Aufklärungsquoten,0.7191126426
Gewaltkriminalität,1999,Aufklärungsquoten,0.7285687498
Gewaltkriminalität,2000,Aufklärungsquoten,0.7332004297
Gewaltkriminalität,2001,Aufklärungsquoten,0.7382505453
Gewaltkriminalität,2002,Aufklärungsquoten,0.7436149312
Gewaltkriminalität,2003,Aufklärungsquoten,0.7414316788
Gewaltkriminalität,2004,Aufklärungsquoten,0.7486456538
Gewaltkriminalität,2005,Aufklärungsquoten,0.7527251541
Gewaltkriminalität,2006,Aufklärungsquoten,0.7543242478
Gewaltkriminalität,2007,Aufklärungsquoten,0.751146047
Gewaltkriminalität,2008,Aufklärungsquoten,0.7548094933
Gewaltkriminalität,2009,Aufklärungsquoten,0.7530919279
Gewaltkriminalität,2010,Aufklärungsquoten,0.7534026028
Gewaltkriminalität,2011,Aufklärungsquoten,0.7525046947
Gewaltkriminalität,2012,Aufklärungsquoten,0.7396575844
Gewaltkriminalität,2013,Aufklärungsquoten,0.7448863114
Gewaltkriminalität,2014,Aufklärungsquoten,0.7477991766
Gewaltkriminalität,2015,Aufklärungsquoten,0.749
Diebstahlkriminalität,1993,erfasste Fälle,4151087
Diebstahlkriminalität,1994,erfasste Fälle,3866336
Diebstahlkriminalität,1995,erfasste Fälle,3848308
Diebstahlkriminalität,1996,erfasste Fälle,3672655
Diebstahlkriminalität,1997,erfasste Fälle,3537610
Diebstahlkriminalität,1998,erfasste Fälle,3323989
Diebstahlkriminalität,1999,erfasste Fälle,3133418
Diebstahlkriminalität,2000,erfasste Fälle,2983269
Diebstahlkriminalität,2001,erfasste Fälle,2971727
Diebstahlkriminalität,2002,erfasste Fälle,3090154
Diebstahlkriminalität,2003,erfasste Fälle,3029390
Diebstahlkriminalität,2004,erfasste Fälle,2961030
Diebstahlkriminalität,2005,erfasste Fälle,2727048
Diebstahlkriminalität,2006,erfasste Fälle,2601902
Diebstahlkriminalität,2007,erfasste Fälle,2561691
Diebstahlkriminalität,2008,erfasste Fälle,2443280
Diebstahlkriminalität,2009,erfasste Fälle,2344646
