state,category,year,value
Baden-Württemberg,Gewaltkriminalität,2014,162.9060965201
Bayern,Gewaltkriminalität,2014,152.5597251212
Berlin,Gewaltkriminalität,2014,481.3215388612
Brandenburg,Gewaltkriminalität,2014,170.5868014485
Bremen,Gewaltkriminalität,2014,503.2012911646
Hamburg,Gewaltkriminalität,2014,499.730293379
Hessen,Gewaltkriminalität,2014,207.4626680506
Mecklenburg-Vorpommern,Gewaltkriminalität,2014,187.0335514139
Niedersachsen,Gewaltkriminalität,2014,224.0275697803
Nordrhein-Westfalen,Gewaltkriminalität,2014,262.7724697949
Rheinland-Pfalz,Gewaltkriminalität,2014,205.4143260783
Saarland,Gewaltkriminalität,2014,247.0935220719
Sachsen,Gewaltkriminalität,2014,170.2507299726
Sachsen-Anhalt,Gewaltkriminalität,2014,234.9663210485
Schleswig-Holstein,Gewaltkriminalität,2014,210.4437038234
Thüringen,Gewaltkriminalität,2014,177.1070509617
Baden-Württemberg,Diebstahlkriminalität,2014,2043.2162530225
Bayern,Diebstahlkriminalität,2014,1539.9495598467
Berlin,Diebstahlkriminalität,2014,7098.5136896087
Brandenburg,Diebstahlkriminalität,2014,3459.1802279363
Bremen,Diebstahlkriminalität,2014,6085.4194839905
Hamburg,Diebstahlkriminalität,2014,6925.9056931575
Hessen,Diebstahlkriminalität,2014,2485.7640281701
Mecklenburg-Vorpommern,Diebstahlkriminalität,2014,2657.993554671
Niedersachsen,Diebstahlkriminalität,2014,2682.3877465019
Nordrhein-Westfalen,Diebstahlkriminalität,2014,3797.6352640268
Rheinland-Pfalz,Diebstahlkriminalität,2014,2119.2349424164
Saarland,Diebstahlkriminalität,2014,2868.6265920272
Sachsen,Diebstahlkriminalität,2014,3577.2918296208
Sachsen-Anhalt,Diebstahlkriminalität,2014,3611.7718394156
Schleswig-Holstein,Diebstahlkriminalität,2014,3133.2887066732
Thüringen,Diebstahlkriminalität,2014,2038.3276873808
Baden-Württemberg,Gewaltkriminalität,2015,170.3145126403
Bayern,Gewaltkriminalität,2015,151.4391287192
Berlin,Gewaltkriminalität,2015,466.6197289853
Brandenburg,Gewaltkriminalität,2015,167.8281049623
Bremen,Gewaltkriminalität,2015,497.6672790563
Hamburg,Gewaltkriminalität,2015,500.0592809925
Hessen,Gewaltkriminalität,2015,201.0046787864
Mecklenburg-Vorpommern,Gewaltkriminalität,2015,192.1660294484
Niedersachsen,Gewaltkriminalität,2015,224.4612986328
Nordrhein-Westfalen,Gewaltkriminalität,2015,262.7891057188
Rheinland-Pfalz,Gewaltkriminalität,2015,199.4474997644
Saarland,Gewaltkriminalität,2015,267.6346135374
Sachsen,Gewaltkriminalität,2015,174.7107593716
Sachsen-Anhalt,Gewaltkriminalität,2015,233.0972092749
Schleswig-Holstein,Gewaltkriminalität,2015,197.6781646875
Thüringen,Gewaltkriminalität,2015,171.9246332112
Baden-Württemberg,Diebstahlkriminalität,2015,2072.4398421745
Bayern,Diebstahlkriminalität,2015,1459.6305200429
Berlin,Diebstahlkriminalität,2015,7698.4329865651
Brandenburg,Diebstahlkriminalität,2015,3229.1347962791
Bremen,Diebstahlkriminalität,2015,6510.4670276542
Hamburg,Diebstahlkriminalität,2015,7022.8404842094
Hessen,Diebstahlkriminalität,2015,2494.2204385772
Mecklenburg-Vorpommern,Diebstahlkriminalität,2015,2575.6376247704
Niedersachsen,Diebstahlkriminalität,2015,2734.9832414241
Nordrhein-Westfalen,Diebstahlkriminalität,2015,3922.1972800015
Rheinland-Pfalz,Diebstahlkriminalität,2015,2124.997070981
Saarland,Diebstahlkriminalität,2015,2596.4702968045
Sachsen,Diebstahlkriminalität,2015,3366.9981362542
Sachsen-Anhalt,Diebstahlkriminalität,2015,3798.2633340908
Schleswig-Holstein,Diebstahlkriminalität,2015,3081.1088063574
Thüringen,Diebstahlkriminalität,2015,2054.9815718863
Baden-Württemberg,Gewaltkriminalität,2016,177.98419025374
Bayern,Gewaltkriminalität,2016,164.29304316560
Berlin,Gewaltkriminalität,2016,463.23455674112
Brandenburg,Gewaltkriminalität,2016,191.84441888486
Bremen,Gewaltkriminalität,2016,528.08013236256
Hamburg,Gewaltkriminalität,2016,481.42337955296
Hessen,Gewaltkriminalität,2016,209.87109814947
Mecklenburg-Vorpommern,Gewaltkriminalität,2016,194.99343199604
Niedersachsen,Gewaltkriminalität,2016,243.06767631364
Nordrhein-Westfalen,Gewaltkriminalität,2016,272.56979311429
Rheinland-Pfalz,Gewaltkriminalität,2016,206.79514893766
Saarland,Gewaltkriminalität,2016,274.00645040112
Sachsen,Gewaltkriminalität,2016,202.01471240934
Sachsen-Anhalt,Gewaltkriminalität,2016,256.73912365785
Schleswig-Holstein,Gewaltkriminalität,2016,214.50204532528
Thüringen,Gewaltkriminalität,2016,208.50282441630
Baden-Württemberg,Diebstahlkriminalität,2016,1957.99153977649
Bayern,Diebstahlkriminalität,2016,1403.50997398376
Berlin,Diebstahlkriminalität,2016,7695.38677358239
Brandenburg,Diebstahlkriminalität,2016,3040.69580727182
Bremen,Diebstahlkriminalität,2016,6567.19618638578
Hamburg,Diebstahlkriminalität,2016,6558.88303062311
Hessen,Diebstahlkriminalität,2016,2289.60592418734
Mecklenburg-Vorpommern,Diebstahlkriminalität,2016,2443.1858354389
Niedersachsen,Diebstahlkriminalität,2016,2599.51336001733
Nordrhein-Westfalen,Diebstahlkriminalität,2016,3559.96994433298
Rheinland-Pfalz,Diebstahlkriminalität,2016,1945.61640425158
Saarland,Diebstahlkriminalität,2016,2488.55711698609
Sachsen,Diebstahlkriminalität,2016,3376.42670442569
Sachsen-Anhalt,Diebstahlkriminalität,2016,3544.87033894908
Schleswig-Holstein,Diebstahlkriminalität,2016,2926.28083816709
Thüringen,Diebstahlkriminalität,2016,2075.72255027608
