year,category,value
2001,Hasskriminalität,5376
2002,Hasskriminalität,5013
2003,Hasskriminalität,3850
2004,Hasskriminalität,4114
2005,Hasskriminalität,4314
2006,Hasskriminalität,5353
2007,Hasskriminalität,4793
2008,Hasskriminalität,4757
2009,Hasskriminalität,4583
2010,Hasskriminalität,3770
2011,Hasskriminalität,4040
2012,Hasskriminalität,4514
2013,Hasskriminalität,4747
2014,Hasskriminalität,5858
2015,Hasskriminalität,10373
2016,Hasskriminalität,10751
2001,Fremdenfeindlich,3548
2002,Fremdenfeindlich,2877
2003,Fremdenfeindlich,2525
2004,Fremdenfeindlich,2694
2005,Fremdenfeindlich,2595
2006,Fremdenfeindlich,3424
2007,Fremdenfeindlich,2989
2008,Fremdenfeindlich,3048
2009,Fremdenfeindlich,2564
2010,Fremdenfeindlich,2166
2011,Fremdenfeindlich,2528
2012,Fremdenfeindlich,2922
2013,Fremdenfeindlich,3248
2014,Fremdenfeindlich,3945
2015,Fremdenfeindlich,8529
2016,Fremdenfeindlich,8983
2001,Gewalttätig,714
2002,Gewalttätig,774
2003,Gewalttätig,606
2004,Gewalttätig,514
2005,Gewalttätig,513
2006,Gewalttätig,644
2007,Gewalttätig,642
2008,Gewalttätig,561
2009,Gewalttätig,590
2010,Gewalttätig,467
2011,Gewalttätig,528
2012,Gewalttätig,524
2013,Gewalttätig,608
2014,Gewalttätig,707
2015,Gewalttätig,1151
2016,Gewalttätig,
