krs,value
12070,36
15081,38
12068,39
12073,39
3354,41
13076,45
13071,48
15090,48
12062,55
15086,58
7232,60
13075,61
13072,62
3360,64
7233,67
9374,67
15091,67
9377,68
16069,69
13073,70
12071,71
12061,72
16075,72
15083,73
6535,74
13074,74
16065,74
3358,75
9575,78
9673,78
12072,78
1054,79
3357,79
9272,79
9276,79
12067,81
12069,81
9278,82
9371,82
9472,82
9372,83
6635,85
3256,86
9180,86
3462,87
9674,88
12064,88
16068,88
7135,90
9672,91
9571,92
12063,92
12066,92
1051,93
9277,93
1059,95
9677,95
3352,96
7231,96
9577,96
16063,96
9373,97
14730,97
6636,98
15087,98
9376,99
9777,99
9780,100
7340,101
8128,101
16071,102
3255,103
7140,103
9779,103
16066,103
7134,104
9476,104
15085,105
16073,105
3155,106
9176,106
16074,106
9279,107
16061,107
16064,107
3251,108
9475,108
3461,109
8437,109
6632,110
9477,110
3151,111
3454,111
9173,112
9273,112
9182,113
15082,113
9189,114
9778,114
3351,115
9274,115
12065,115
3156,116
3453,116
6634,117
7333,117
1057,118
9773,119
5762,120
12060,120
16062,120
16076,120
3458,121
9479,121
9275,123
14626,123
1058,124
1061,124
7336,124
9172,124
9471,125
8225,127
9185,128
9478,128
14625,128
8127,129
15084,130
15088,130
16070,130
9675,131
16072,131
8237,133
7235,134
5958,135
9271,135
3154,136
9375,136
9678,136
3355,137
3456,138
8426,138
9190,138
15089,138
9183,139
9576,140
8425,141
8126,142
1055,143
3153,143
9181,146
16067,146
3452,147
9473,147
8337,148
14522,148
14628,150
1053,153
5366,153
9177,154
6437,155
14729,156
3457,157
3359,158
7141,158
6631,159
3455,161
7131,162
9774,162
16077,162
9186,163
7335,164
14523,164
9679,166
3158,167
3451,167
9771,168
3459,169
14627,169
3460,170
3361,171
8436,171
7337,173
3356,175
9187,178
8325,179
9474,179
9676,179
6633,182
7133,182
3252,186
8327,186
8315,187
10042,187
10046,187
14521,190
5966,191
9171,191
6534,194
8235,195
5558,196
1060,199
3353,199
7132,201
7143,203
8326,204
8417,206
8136,207
8135,208
5570,210
9574,210
7331,216
9178,217
7332,222
8317,226
6439,227
5974,228
3152,229
9772,229
3254,230
3257,231
6533,233
6532,237
8316,238
9572,238
5774,244
3157,247
5566,247
5970,248
9671,248
9776,249
9175,250
5154,252
8415,258
9174,258
7137,259
5554,260
5770,272
6440,274
9188,274
7334,275
5358,279
5766,281
8336,281
7138,288
6435,295
5374,298
8125,304
6531,307
8216,308
12051,312
1062,313
8435,319
9775,330
15001,339
8236,342
14524,342
8335,343
7339,345
10045,346
16054,357
6431,371
5754,372
9573,372
8211,386
5962,392
8117,393
12053,393
5370,402
8215,402
16056,407
9561,412
8416,427
10044,429
5170,444
6432,445
3102,451
3402,451
7316,453
1056,463
6434,484
7320,485
8119,489
9179,491
7338,497
3241,500
8226,510
9184,512
5382,517
5166,528
10043,537
7313,547
5758,560
6433,587
9363,596
12052,604
3103,608
9764,611
8115,617
16052,631
5378,647
7317,654
5362,662
9263,693
7312,705
3405,712
9262,727
5978,729
13004,742
7319,755
16055,759
9464,770
8118,778
16051,778
5162,781
5334,784
5915,792
5954,796
10041,797
5562,812
8116,817
9361,835
9463,854
12054,891
16053,954
6438,975
7211,981
9565,990
9161,993
1003,1010
5515,1022
8421,1033
6436,1047
9261,1052
9763,1058
9762,1067
7111,1071
9462,1078
9661,1104
7311,1105
1004,1106
14511,1125
13003,1137
5512,1164
15003,1173
5914,1178
7318,1180
5158,1187
4012,1217
3401,1224
8121,1227
8231,1247
6411,1272
5711,1287
3101,1308
9461,1343
6414,1354
3404,1356
9562,1408
9663,1425
8221,1436
9662,1456
5120,1469
8311,1479
1001,1515
5116,1525
3403,1591
5114,1634
14612,1656
9163,1662
4011,1709
15002,1755
5122,1773
8212,1774
9362,1803
5117,1854
6611,1854
14713,1882
9761,1950
9563,1960
5316,2073
1002,2076
5124,2079
5913,2088
8222,2109
5112,2110
7314,2124
7315,2146
5314,2260
2000,2366
5513,2481
5911,2504
5315,2619
5119,2736
9564,2736
6413,2756
5113,2770
5111,2816
6412,2951
8111,3008
5916,3031
11000,3948
9162,4668
