krs,value
1001,0.01
1002,-0.07
1003,-0.05
1004,-0.14
1051,-0.07
1053,0.06
1054,-0.03
1055,0
1056,0.07
1057,0.04
1058,0
1059,0
1060,0.07
1061,-0.04
1062,0.04
2000,0.03
3101,-0.05
3102,-0.14
3103,-0.08
3151,-0.02
3152,-0.11
3153,-0.14
3154,-0.13
3155,-0.15
3156,-0.21
3157,-0.03
3158,-0.07
3241,-0.02
3251,0.03
3252,-0.11
3254,-0.09
3255,-0.17
3256,0.01
3257,-0.06
3351,-0.05
3352,-0.04
3353,0.09
3354,-0.07
3355,0.05
3356,0
3357,0
3358,-0.02
3359,0.05
3360,-0.08
3361,0
3401,-0.09
3402,-0.04
3403,0.06
3404,-0.01
3405,-0.12
3451,0.04
3452,0
3453,0.06
3454,0.05
3455,-0.07
3456,0.06
3457,0
3458,0.05
3459,0.03
3460,0.1
3461,-0.06
3462,-0.05
4011,-0.02
4012,-0.1
5111,0.02
5112,-0.1
5113,-0.07
5114,-0.06
5116,-0.08
5117,-0.08
5119,-0.06
5120,-0.15
5122,-0.07
5124,-0.09
5154,0.04
5158,-0.04
5162,0
5166,-0.03
5170,-0.05
5314,0.04
5315,0
5316,-0.04
5334,0.02
5358,0.04
5362,0.06
5366,0.01
5370,0.04
5374,-0.03
5378,-0.02
5382,0.09
5512,-0.13
5513,-0.15
5515,-0.07
5554,-0.02
5558,0.02
5562,-0.09
5566,0.01
5570,-0.03
5711,-0.06
5754,0.03
5758,-0.06
5762,-0.11
5766,-0.07
5770,-0.06
5774,-0.01
5911,-0.08
5913,-0.06
5914,-0.16
5915,-0.07
5916,-0.09
5954,-0.08
5958,-0.11
5962,-0.11
5966,-0.06
5970,-0.09
5974,-0.03
5978,-0.05
6411,-0.08
6412,-0.03
6413,0.03
6414,0.05
6431,0.02
6432,0.06
6433,0.06
6434,0.05
6435,0.03
6436,0.08
6437,-0.03
6438,0.04
6439,0
6440,0.04
6531,-0.06
6532,-0.07
6533,-0.03
6534,-0.05
6535,-0.12
6611,-0.1
6631,-0.06
6632,-0.14
6633,-0.08
6634,-0.11
6635,-0.09
6636,-0.14
7111,-0.11
7131,0
7132,-0.06
7133,-0.02
7134,-0.1
7135,-0.06
7137,-0.01
7138,-0.02
7140,-0.05
7141,-0.06
7143,-0.03
7211,-0.1
7231,-0.04
7232,-0.02
7233,-0.07
7235,0.05
7311,-0.02
7312,-0.05
7313,-0.03
7314,0.02
7315,-0.03
7316,-0.01
7317,-0.16
7318,0
7319,0.01
7320,-0.13
7331,0.02
7332,0.01
7333,-0.05
7334,0.04
7335,-0.04
7336,-0.13
7337,0.01
7338,0.02
7339,0.06
7340,-0.12
8111,0.03
8115,0.05
8116,0.06
8117,-0.02
8118,0.08
8119,0.02
8121,-0.01
8125,0.05
8126,0.04
8127,0.04
8128,-0.05
8135,-0.07
8136,-0.01
8211,0.04
8212,-0.03
8215,0.08
8216,0.05
8221,-0.08
8222,0.02
8225,-0.03
8226,0.07
8231,-0.01
8235,0.02
8236,0.01
8237,0.01
8311,0.03
8315,0.15
8316,0.1
8317,0.06
8325,-0.03
8326,-0.03
8327,0
8335,0.07
8336,0.05
8337,0
8415,0.04
8416,0.05
8417,-0.03
8421,-0.02
8425,0.04
8426,0.06
8435,0.09
8436,0.06
8437,-0.02
9161,-0.03
9162,0.01
9163,0.04
9171,0
9172,0.05
9173,0.13
9174,0.18
9175,0.21
9176,0.09
9177,0.19
9178,0.17
9179,0.17
9180,0.04
9181,0.19
9182,0.14
9183,0.07
9184,0.22
9185,0.09
9186,0.13
9187,0.13
9188,0.18
9189,0.02
9190,0.1
9261,0.03
9262,-0.02
9263,0
9271,0.03
9272,-0.09
9273,0.06
9274,0.1
9275,-0.01
9276,-0.08
9277,0.02
9278,0.01
9279,0
9361,-0.03
9362,-0.03
9363,-0.08
9371,-0.08
9372,-0.06
9373,0.01
9374,-0.1
9375,0.08
9376,-0.03
9377,-0.13
9461,-0.03
9462,-0.1
9463,-0.15
9464,-0.13
9471,-0.01
9472,-0.07
9473,-0.13
9474,0
9475,-0.18
9476,-0.17
9477,-0.15
9478,-0.09
9479,-0.21
9561,-0.05
9562,-0.01
9563,-0.02
9564,0.02
9565,0
9571,-0.04
9572,0.04
9573,0.02
9574,-0.01
9575,-0.02
9576,-0.01
9577,-0.06
9661,-0.04
9662,-0.09
9663,0
9671,-0.04
9672,-0.1
9673,-0.14
9674,-0.07
