facet,facet_value,year,value,confidence95_lower,confidence95_upper
Gesamt,,1991,0.2094929,0.2041798,0.2148061
Gesamt,,1992,0.2219787,0.2178587,0.2260987
Gesamt,,1993,0.2279110,0.2241344,0.2316876
Gesamt,,1994,0.2434943,0.2395728,0.2474157
Gesamt,,1995,0.2478293,0.2441021,0.2515564
Gesamt,,1996,0.2562913,0.2528995,0.2596832
Gesamt,,1997,0.2614410,0.2579220,0.2649600
Gesamt,,1998,0.2673514,0.2616740,0.2730288
Gesamt,,1999,0.2559787,0.2521211,0.2598364
Gesamt,,2000,0.2675973,0.2653035,0.2698910
Gesamt,,2001,0.2704736,0.2647534,0.2761938
Gesamt,,2002,0.2704573,0.2654338,0.2754809
Gesamt,,2003,0.2763657,0.2705119,0.2822195
Gesamt,,2004,0.2781224,0.2703467,0.2858981
Gesamt,,2005,0.2840071,0.2803079,0.2877064
Gesamt,,2006,0.2856950,0.2833748,0.2880151
Gesamt,,2007,0.2847099,0.2807609,0.2886588
Gesamt,,2008,0.2867910,0.2824882,0.2910938
Gesamt,,2009,0.2863314,0.2798192,0.2928437
Gesamt,,2010,0.2821336,0.2758847,0.2883826
Gesamt,,2011,0.2863425,0.2837383,0.2889465
Gesamt,,2012,0.2858564,0.2829321,0.2887806
Gesamt,,2013,0.2639162,0.2607675,0.2670648
Gesamt,,2014,0.2714047,0.2679154,0.274894
Einkommensposition,1. Quintil (unterste Einkommen),1991,0.2970904,0.2847540,0.3094268
Einkommensposition,1. Quintil (unterste Einkommen),1992,0.3162766,0.3004663,0.3320869
Einkommensposition,1. Quintil (unterste Einkommen),1993,0.3205684,0.3050679,0.3360688
Einkommensposition,1. Quintil (unterste Einkommen),1994,0.3420835,0.3257998,0.3583672
Einkommensposition,1. Quintil (unterste Einkommen),1995,0.3440488,0.3306217,0.3574759
Einkommensposition,1. Quintil (unterste Einkommen),1996,0.3594383,0.3503637,0.3685130
Einkommensposition,1. Quintil (unterste Einkommen),1997,0.3584585,0.3486373,0.3682798
Einkommensposition,1. Quintil (unterste Einkommen),1998,0.3627931,0.3481263,0.3774599
