facet,region,category,year,value
Erwachsene,Deutschland,mit ihrem Ehepartner,1996,0.661
Erwachsene,Deutschland,in nicht ehelicher Lebensgemeinschaft,1996,0.061
Erwachsene,Deutschland,in gleichgeschlechtlicher Lebensgemeinschaft,1996,0.001
Erwachsene,Deutschland,ohne Partner lebend,1996,0.277
Erwachsene,Deutschland,mit ihrem Ehepartner,2016,0.563
Erwachsene,Deutschland,in nicht ehelicher Lebensgemeinschaft,2016,0.093
Erwachsene,Deutschland,in gleichgeschlechtlicher Lebensgemeinschaft,2016,0.003
Erwachsene,Deutschland,ohne Partner lebend,2016,0.341
Kinder,Deutschland,mit verheirateten Eltern,1996,0.823
Kinder,Deutschland,in nicht ehelicher Lebensgemeinschaft,1996,0.034
Kinder,Deutschland,mit Alleinerziehenden,1996,0.143
Kinder,Westdeutsche Flächenländer,mit verheirateten Eltern,1996,0.847
Kinder,Westdeutsche Flächenländer,in nicht ehelicher Lebensgemeinschaft,1996,0.022
Kinder,Westdeutsche Flächenländer,mit Alleinerziehenden,1996,0.131
Kinder,Ostdeutsche Flächenländer,mit verheirateten Eltern,1996,0.762
Kinder,Ostdeutsche Flächenländer,in nicht ehelicher Lebensgemeinschaft,1996,0.077
Kinder,Ostdeutsche Flächenländer,mit Alleinerziehenden,1996,0.161
Kinder,Stadtstaaten,mit verheirateten Eltern,1996,0.707
Kinder,Stadtstaaten,in nicht ehelicher Lebensgemeinschaft,1996,0.055
Kinder,Stadtstaaten,mit Alleinerziehenden,1996,0.238
Kinder,Deutschland,mit verheirateten Eltern,2016,0.724
Kinder,Deutschland,in nicht ehelicher Lebensgemeinschaft,2016,0.075
Kinder,Deutschland,mit Alleinerziehenden,2016,0.201
Kinder,Westdeutsche Flächenländer,mit verheirateten Eltern,2016,0.757
Kinder,Westdeutsche Flächenländer,in nicht ehelicher Lebensgemeinschaft,2016,0.055
Kinder,Westdeutsche Flächenländer,mit Alleinerziehenden,2016,0.187
Kinder,Ostdeutsche Flächenländer,mit verheirateten Eltern,2016,0.567
Kinder,Ostdeutsche Flächenländer,in nicht ehelicher Lebensgemeinschaft,2016,0.182
Kinder,Ostdeutsche Flächenländer,mit Alleinerziehenden,2016,0.25
Kinder,Stadtstaaten,mit verheirateten Eltern,2016,0.623
Kinder,Stadtstaaten,in nicht ehelicher Lebensgemeinschaft,2016,0.105
Kinder,Stadtstaaten,mit Alleinerziehenden,2016,0.272
