facet,facet_value,year,value
Alter,Insgesamt,1999,0.34
Alter,Insgesamt,2004,0.357
Alter,Insgesamt,2009,0.359
Alter,Insgesamt,2014,0.436
Alter,14-29 Jahre,1999,0.35
Alter,14-29 Jahre,2004,0.347
Alter,14-29 Jahre,2009,0.347
Alter,14-29 Jahre,2014,0.469
Alter,30-49 Jahre,1999,0.375
Alter,30-49 Jahre,2004,0.395
Alter,30-49 Jahre,2009,0.41
Alter,30-49 Jahre,2014,0.47
Alter,50-64 Jahre,1999,0.365
Alter,50-64 Jahre,2004,0.392
Alter,50-64 Jahre,2009,0.37
Alter,50-64 Jahre,2014,0.455
Alter,65 Jahre und älter,1999,0.23
Alter,65 Jahre und älter,2004,0.264
Alter,65 Jahre und älter,2009,0.291
Alter,65 Jahre und älter,2014,0.34
Einzelbereichen,Sport und Bewegung,1999,0.112
Einzelbereichen,Freizeit und Geselligkeit,1999,0.056
Einzelbereichen,Kultur und Musik,1999,0.049
Einzelbereichen,Sozialer Bereich ,1999,0.041
Einzelbereichen,Schule oder Kindergarten ,1999,0.059
Einzelbereichen,Kirchlicher oder religiöser Bereich,1999,0.053
Einzelbereichen,Berufliche Interessenvertretung,1999,0.023
Einzelbereichen,"Umwelt, Natur- oder Tierschutz",1999,0.018
Einzelbereichen,"Jugendarbeit, Bildungsarbeit für Erwachsene",1999,0.017
Einzelbereichen,"Unfall-, Rettungsdienst, Freiwillige Feuerwehr",1999,0.025
Einzelbereichen,Politik und politische Interessenvertretung,1999,0.026
Einzelbereichen,Gesundheitsbereich,1999,0.012
Einzelbereichen,Justiz oder Kriminalitätsprobleme,1999,0.007
Einzelbereichen,Sonstiger Bereich,1999,0.013
Einzelbereichen,Sport und Bewegung,2004,0.111
Einzelbereichen,Freizeit und Geselligkeit,2004,0.051
Einzelbereichen,Kultur und Musik,2004,0.055
Einzelbereichen,Sozialer Bereich ,2004,0.054
Einzelbereichen,Schule oder Kindergarten ,2004,0.069
Einzelbereichen,Kirchlicher oder religiöser Bereich,2004,0.059
Einzelbereichen,Berufliche Interessenvertretung,2004,0.024
Einzelbereichen,"Umwelt, Natur- oder Tierschutz",2004,0.026
Einzelbereichen,"Jugendarbeit, Bildungsarbeit für Erwachsene",2004,0.024
Einzelbereichen,"Unfall-, Rettungsdienst, Freiwillige Feuerwehr",2004,0.028
Einzelbereichen,Politik und politische Interessenvertretung,2004,0.027
Einzelbereichen,Gesundheitsbereich,2004,0.009
Einzelbereichen,Justiz oder Kriminalitätsprobleme,2004,0.006
Einzelbereichen,Sonstiger Bereich,2004,0.021
Einzelbereichen,Sport und Bewegung,2009,0.101
Einzelbereichen,Freizeit und Geselligkeit,2009,0.046
Einzelbereichen,Kultur und Musik,2009,0.052
Einzelbereichen,Sozialer Bereich ,2009,0.052
Einzelbereichen,Schule oder Kindergarten ,2009,0.069
Einzelbereichen,Kirchlicher oder religiöser Bereich,2009,0.069
Einzelbereichen,Berufliche Interessenvertretung,2009,0.018
Einzelbereichen,"Umwelt, Natur- oder Tierschutz",2009,0.028
Einzelbereichen,"Jugendarbeit, Bildungsarbeit für Erwachsene",2009,0.026
Einzelbereichen,"Unfall-, Rettungsdienst, Freiwillige Feuerwehr",2009,0.031
Einzelbereichen,Politik und politische Interessenvertretung,2009,0.027
Einzelbereichen,Gesundheitsbereich,2009,0.022
Einzelbereichen,Justiz oder Kriminalitätsprobleme,2009,0.007
Einzelbereichen,Sonstiger Bereich,2009,0.019
Einzelbereichen,Sport und Bewegung,2014,0.163
Einzelbereichen,Freizeit und Geselligkeit,2014,0.058
Einzelbereichen,Kultur und Musik,2014,0.09
Einzelbereichen,Sozialer Bereich ,2014,0.085
Einzelbereichen,Schule oder Kindergarten ,2014,0.091
Einzelbereichen,Kirchlicher oder religiöser Bereich,2014,0.076
Einzelbereichen,Berufliche Interessenvertretung,2014,0.025
Einzelbereichen,"Umwelt, Natur- oder Tierschutz",2014,0.035
Einzelbereichen,"Jugendarbeit, Bildungsarbeit für Erwachsene",2014,0.04
Einzelbereichen,"Unfall-, Rettungsdienst, Freiwillige Feuerwehr",2014,0.029
Einzelbereichen,Politik und politische Interessenvertretung,2014,0.036
Einzelbereichen,Gesundheitsbereich,2014,0.025
Einzelbereichen,Justiz oder Kriminalitätsprobleme,2014,0.007
Einzelbereichen,Sonstiger Bereich,2014,0.027
