region,age,value
Deutschland,Insgesamt,0.2920270968
Deutschland,0-6 Jahre,0.2555219643
Deutschland,7–14 Jahre,0.7237356273
Deutschland,15–18 Jahre,0.5717290446
Deutschland,19–26 Jahre,0.3292435868
Deutschland,27–40 Jahre,0.2378763068
Deutschland,41–60 Jahre,0.2577649504
Deutschland,60 Jahre und älter,0.2014320375
Westdeutsche Bundesländer,Insgesamt,0.3175246116
Westdeutsche Bundesländer,0-6 Jahre,0.276662562
Westdeutsche Bundesländer,7–14 Jahre,0.765228644
Westdeutsche Bundesländer,15–18 Jahre,0.6000790263
Westdeutsche Bundesländer,19–26 Jahre,0.349201408
Westdeutsche Bundesländer,27–40 Jahre,0.2543544992
Westdeutsche Bundesländer,41–60 Jahre,0.281564208
Westdeutsche Bundesländer,60 Jahre und älter,0.2252567169
Ostdeutsche Bundesländer,Insgesamt,0.1519585886
Ostdeutsche Bundesländer,0-6 Jahre,0.134712666
Ostdeutsche Bundesländer,7–14 Jahre,0.4605849739
Ostdeutsche Bundesländer,15–18 Jahre,0.3485103578
Ostdeutsche Bundesländer,19–26 Jahre,0.1817917661
Ostdeutsche Bundesländer,27–40 Jahre,0.1435496088
Ostdeutsche Bundesländer,41–60 Jahre,0.1296340204
Ostdeutsche Bundesländer,60 Jahre und älter,0.0922396686
