category,name,year,value
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,1995,181.2422285679
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,1996,166.5471583191
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,1997,155.1161265347
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,1998,142.9682154052
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,1999,132.2971629633
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2000,121.0795806252
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2001,116.9875590986
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2002,110.7862704383
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2003,107.095364716
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2004,103.8169363665
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2005,100
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2006,99.2229861408
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2007,95.9719660455
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2008,93.1963186608
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2009,88.1516205519
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2010,91.8024916195
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2011,90.4819532952
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2012,87.2925421974
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2013,87.5030899678
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2014,83.8947728141
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),1995,140.5531871434
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),1996,135.6401864414
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),1997,131.2271430389
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),1998,129.5321192378
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),1999,127.5157169632
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2000,123.5958269178
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2001,118.6789817395
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2002,113.5489697668
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2003,109.7615051454
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2004,105.1399310151
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2005,100
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2006,98.9081099981
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2007,94.3917481511
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2008,88.7545850355
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2009,82.4962856065
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2010,84.0501781689
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2011,81.8792121978
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2012,79.3449961255
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2013,78.9436565751
NO<sub>x</sub>,Stickstoffoxid-Verbindungen (NO<sub>x</sub>),2014,75.4649054633
SO<sub>2</sub>,Schwefeldioxid (SO<sub>2</sub>),1995,360.3682755388
SO<sub>2</sub>,Schwefeldioxid (SO<sub>2</sub>),1996,305.0011526758
