country,country_en,category,median,q25,q75,min,max
Schweden,Sweden,PM2.5,5.3,4.3,6.7,2.8,11.3
Estland,Estonia,PM2.5,6.4,5.5,7.9,5.1,8.2
Finnland,Finland,PM2.5,6.7,6.2,7,4.9,8.5
Spanien,Spain,PM2.5,8.2,6.9,10.3,3.7,18.1
Portugal,Portugal,PM2.5,8.6,5.2,11.3,2.8,14
Griechenland,Greece,PM2.5,10,10,10,10,10
Dänemark,Denmark,PM2.5,10.6,10,11.9,8.3,16.9
Irland,Ireland,PM2.5,11,9.8,11.1,7.9,15
Malta,Malta,PM2.5,11.4,10.9,14.6,10.5,17.8
Vereinigtes Königreich,United Kingdom,PM2.5,12.8,11.5,14.2,6.1,20.1
Lettland,Latvia,PM2.5,14.4,11.3,17.2,9.2,18.4
Niederlande,Netherlands,PM2.5,14.5,13.7,15.5,9.9,17.5
Deutschland,Germany,PM2.5,14.6,13.2,15.9,6.4,20.8
Frankreich,France,PM2.5,14.8,13,17.1,4.3,29.8
Belgien,Belgium,PM2.5,15.2,13.7,17.7,9.1,20.4
Luxemburg,Luxembourg,PM2.5,15.9,15.3,16.3,14.6,16.4
Österreich,Austria,PM2.5,16.4,15,17.8,9.2,20.7
Zypern,Cyprus,PM2.5,16.5,16.5,17,12.8,17.1
Rumänien,Romania,PM2.5,16.9,14.5,19,7.8,26.2
Italien,Italy,PM2.5,17.2,14,22.4,5.6,34
Ungarn,Hungary,PM2.5,17.2,16.5,17.5,15.1,17.5
Slowakei,Slovakia,PM2.5,18.6,15.8,20.8,11.9,25.2
Bulgarien,Bulgaria,PM2.5,19.6,11.9,30.7,5.3,34.4
Slowenien,Slovenia,PM2.5,19.9,17.3,20.6,10.6,21.6
Litauen,Lithuania,PM2.5,20.4,16.7,21.7,13,23
Tschechien,Czech Republic,PM2.5,20.4,16.9,21.9,9.4,35.8
Kroatien,Croatia,PM2.5,23,22.3,23.6,21.7,24.3
Polen,Poland,PM2.5,24.3,20.4,28.1,11.9,43.5
Finnland,Finland,NO2,7.9,4.7,19.2,1,26.6
Estland,Estonia,NO2,11,2.4,13.4,2.1,22.9
Luxemburg,Luxembourg,NO2,14.3,11.6,20.8,9,27.3
Malta,Malta,NO2,14.9,11,21.4,2.9,37.5
Spanien,Spain,NO2,15.3,8.8,24.4,1.3,56.7
Portugal,Portugal,NO2,15.7,6.5,22.9,1.4,52.8
Litauen,Lithuania,NO2,16.1,10,22.7,6.9,34.5
Zypern,Cyprus,NO2,16.5,9.7,23.3,2.9,30
Polen,Poland,NO2,16.8,12.6,22.2,3.3,68
Dänemark,Denmark,NO2,17.7,12.3,33,3.5,55
Bulgarien,Bulgaria,NO2,18.1,14.6,25.7,1.1,51.6
Irland,Ireland,NO2,18.4,8.4,22,4,30.9
Rumänien,Romania,NO2,19.2,15.8,22.9,4.7,60.1
Kroatien,Croatia,NO2,19.4,14.7,22.6,12.9,45.2
Ungarn,Hungary,NO2,19.6,16.4,27,11.4,52
Lettland,Latvia,NO2,19.6,17.3,25.1,14.3,50.6
Frankreich,France,NO2,19.9,15.1,29.6,1.9,85.8
Tschechien,Czech Republic,NO2,20.3,15.6,25.8,4.9,53.6
Griechenland,Greece,NO2,21.2,12.9,31.6,6.3,52.1
Österreich,Austria,NO2,22.1,15.7,29,1.9,60.6
Vereinigtes Königreich,United Kingdom,NO2,23.7,16.2,32,2.5,84.7
Deutschland,Germany,NO2,30,18,44,4,89
Slowenien,Slovenia,NO2,24.3,19.3,26.8,15.6,31.9
Niederlande,Netherlands,NO2,24.9,18.9,32.2,10.2,53
Belgien,Belgium,NO2,26.4,20.8,31,7.1,62.6
Italien,Italy,NO2,26.7,18.1,35.8,1.1,67.4
Schweden,Sweden,NO2,27.4,16.6,33.6,2.2,46.2
Slowakei,Slovakia,NO2,34,23.9,34.9,12.9,35.1
