facet,facet_value,year,value
Gesamtindikator,Gesamtindikator,1970,106.9
Gesamtindikator,Gesamtindikator,1975,101.4
Gesamtindikator,Gesamtindikator,1990,76.5
Gesamtindikator,Gesamtindikator,1991,72.3
Gesamtindikator,Gesamtindikator,1992,71.3
Gesamtindikator,Gesamtindikator,1993,73.1
Gesamtindikator,Gesamtindikator,1994,76.6
Gesamtindikator,Gesamtindikator,1995,73.1
Gesamtindikator,Gesamtindikator,1996,76.0
Gesamtindikator,Gesamtindikator,1997,72.8
Gesamtindikator,Gesamtindikator,1998,70.1
Gesamtindikator,Gesamtindikator,1999,74.8
Gesamtindikator,Gesamtindikator,2000,71.9
Gesamtindikator,Gesamtindikator,2001,71.1
Gesamtindikator,Gesamtindikator,2002,69.7
Gesamtindikator,Gesamtindikator,2003,69.8
Gesamtindikator,Gesamtindikator,2004,72.4
Gesamtindikator,Gesamtindikator,2005,71.1
Gesamtindikator,Gesamtindikator,2006,70.2
Gesamtindikator,Gesamtindikator,2007,70.2
Gesamtindikator,Gesamtindikator,2008,70.4
Gesamtindikator,Gesamtindikator,2009,67.4
Gesamtindikator,Gesamtindikator,2010,68.0
Gesamtindikator,Gesamtindikator,2011,66.6
Gesamtindikator,Gesamtindikator,2012,70.8
Gesamtindikator,Gesamtindikator,2013,68.0
Gesamtindikator,Gesamtindikator,2014,67.2
Teilindikator,Agrarland,1970,128.8
Teilindikator,Agrarland,1975,117.2
Teilindikator,Agrarland,1990,74.2
Teilindikator,Agrarland,1991,71.2
Teilindikator,Agrarland,1992,70.1
Teilindikator,Agrarland,1993,70.9
Teilindikator,Agrarland,1994,75.7
Teilindikator,Agrarland,1995,73.8
Teilindikator,Agrarland,1996,75.2
Teilindikator,Agrarland,1997,71.1
Teilindikator,Agrarland,1998,69.1
Teilindikator,Agrarland,1999,75.2
Teilindikator,Agrarland,2000,71.7
Teilindikator,Agrarland,2001,68.6
Teilindikator,Agrarland,2002,68.8
Teilindikator,Agrarland,2003,67.8
Teilindikator,Agrarland,2004,70.7
Teilindikator,Agrarland,2005,68.3
Teilindikator,Agrarland,2006,68.0
Teilindikator,Agrarland,2007,68.3
Teilindikator,Agrarland,2008,66.1
Teilindikator,Agrarland,2009,65.2
Teilindikator,Agrarland,2010,62.7
Teilindikator,Agrarland,2011,58.4
Teilindikator,Agrarland,2012,62.6
Teilindikator,Agrarland,2013,58.1
Teilindikator,Agrarland,2014,57.4
Teilindikator,Wälder,1970,77.5
Teilindikator,Wälder,1975,78.5
Teilindikator,Wälder,1990,81.6
Teilindikator,Wälder,1991,77.1
Teilindikator,Wälder,1992,76.8
Teilindikator,Wälder,1993,77.8
Teilindikator,Wälder,1994,80.8
Teilindikator,Wälder,1995,70.7
Teilindikator,Wälder,1996,78.0
Teilindikator,Wälder,1997,76.7
Teilindikator,Wälder,1998,70.6
Teilindikator,Wälder,1999,75.5
Teilindikator,Wälder,2000,73.4
Teilindikator,Wälder,2001,74.8
Teilindikator,Wälder,2002,74.3
Teilindikator,Wälder,2003,78.5
Teilindikator,Wälder,2004,79.1
Teilindikator,Wälder,2005,79.6
Teilindikator,Wälder,2006,78.5
Teilindikator,Wälder,2007,75.4
Teilindikator,Wälder,2008,81.6
Teilindikator,Wälder,2009,73.2
Teilindikator,Wälder,2010,79.2
Teilindikator,Wälder,2011,79.8
Teilindikator,Wälder,2012,87.0
Teilindikator,Wälder,2013,86.4
Teilindikator,Wälder,2014,83.9
Teilindikator,Siedlungen,1970,99.7
Teilindikator,Siedlungen,1975,101.6
Teilindikator,Siedlungen,1990,80.8
Teilindikator,Siedlungen,1991,73.7
Teilindikator,Siedlungen,1992,68.4
Teilindikator,Siedlungen,1993,75.1
Teilindikator,Siedlungen,1994,71.9
Teilindikator,Siedlungen,1995,75.2
Teilindikator,Siedlungen,1996,85.3
Teilindikator,Siedlungen,1997,77.4
Teilindikator,Siedlungen,1998,75.5
Teilindikator,Siedlungen,1999,74.9
Teilindikator,Siedlungen,2000,69.8
Teilindikator,Siedlungen,2001,69.6
Teilindikator,Siedlungen,2002,63.4
Teilindikator,Siedlungen,2003,59.2
Teilindikator,Siedlungen,2004,66.5
Teilindikator,Siedlungen,2005,66.3
Teilindikator,Siedlungen,2006,65.1
Teilindikator,Siedlungen,2007,66.3
Teilindikator,Siedlungen,2008,63.3
Teilindikator,Siedlungen,2009,63.8
Teilindikator,Siedlungen,2010,66.5
Teilindikator,Siedlungen,2011,71.4
Teilindikator,Siedlungen,2012,71.4
Teilindikator,Siedlungen,2013,68.6
Teilindikator,Siedlungen,2014,70.4
Teilindikator,Binnengewässer,1970,82.7
Teilindikator,Binnengewässer,1975,80.3
Teilindikator,Binnengewässer,1990,64.1
Teilindikator,Binnengewässer,1991,55.8
Teilindikator,Binnengewässer,1992,57.3
Teilindikator,Binnengewässer,1993,63.7
Teilindikator,Binnengewässer,1994,68.5
Teilindikator,Binnengewässer,1995,67.5
Teilindikator,Binnengewässer,1996,58.2
Teilindikator,Binnengewässer,1997,58.6
Teilindikator,Binnengewässer,1998,61.5
Teilindikator,Binnengewässer,1999,67.2
Teilindikator,Binnengewässer,2000,67.4
Teilindikator,Binnengewässer,2001,73.7
Teilindikator,Binnengewässer,2002,67.0
Teilindikator,Binnengewässer,2003,66.7
Teilindikator,Binnengewässer,2004,72.0
Teilindikator,Binnengewässer,2005,69.0
Teilindikator,Binnengewässer,2006,63.1
Teilindikator,Binnengewässer,2007,72.5
Teilindikator,Binnengewässer,2008,76.8
Teilindikator,Binnengewässer,2009,70.6
Teilindikator,Binnengewässer,2010,68.2
Teilindikator,Binnengewässer,2011,69.5
Teilindikator,Binnengewässer,2012,72.6
Teilindikator,Binnengewässer,2013,73.4
Teilindikator,Binnengewässer,2014,73.6
Teilindikator,Küsten/Meere,1970,77.3
Teilindikator,Küsten/Meere,1975,81.1
Teilindikator,Küsten/Meere,1990,78.1
Teilindikator,Küsten/Meere,1991,72.3
Teilindikator,Küsten/Meere,1992,79.0
Teilindikator,Küsten/Meere,1993,79.4
Teilindikator,Küsten/Meere,1994,85.8
Teilindikator,Küsten/Meere,1995,85.4
Teilindikator,Küsten/Meere,1996,74.3
Teilindikator,Küsten/Meere,1997,76.4
Teilindikator,Küsten/Meere,1998,80.5
Teilindikator,Küsten/Meere,1999,76.9
Teilindikator,Küsten/Meere,2000,76.6
Teilindikator,Küsten/Meere,2001,81.1
Teilindikator,Küsten/Meere,2002,71.3
Teilindikator,Küsten/Meere,2003,68.1
Teilindikator,Küsten/Meere,2004,63.5
Teilindikator,Küsten/Meere,2005,63.6
Teilindikator,Küsten/Meere,2006,63.2
Teilindikator,Küsten/Meere,2007,65.6
Teilindikator,Küsten/Meere,2008,55.1
Teilindikator,Küsten/Meere,2009,59.4
Teilindikator,Küsten/Meere,2010,62.2
Teilindikator,Küsten/Meere,2011,62.4
Teilindikator,Küsten/Meere,2012,56.1
Teilindikator,Küsten/Meere,2013,56.6
Teilindikator,Küsten/Meere,2014,56.2
