category,year,value
Grundrechte Insgesamt,2012/2013,0.8040731976
Gleichbehandlung,2012/2013,0.77
Recht auf Leben und körperl. Unversehrtheit,2012/2013,0.89
Sicherstellung rechtsstaatl. Verfahren,2012/2013,0.77
Meinungsfreiheit,2012/2013,0.8
Religions- und Glaubensfreiheit,2012/2013,0.81
Recht auf Privatsphäre,2012/2013,0.78
Versammlungsfreiheit,2012/2013,0.81
Grundprinzipien der Kernarbeitsnormen,2012/2013,0.79
Grundrechte Insgesamt,2014,0.8395784322
Gleichbehandlung,2014,0.7811063696
Recht auf Leben und körperl. Unversehrtheit,2014,0.888389826
Sicherstellung rechtsstaatl. Verfahren,2014,0.7790045523
Meinungsfreiheit,2014,0.8950188892
Religions- und Glaubensfreiheit,2014,0.8513113999
Recht auf Privatsphäre,2014,0.7866392327
Versammlungsfreiheit,2014,0.9122945426
Grundprinzipien der Kernarbeitsnormen,2014,0.8228626454
Grundrechte Insgesamt,2015,0.8656254975
Gleichbehandlung,2015,0.758436689
Recht auf Leben und körperl. Unversehrtheit,2015,0.9189987857
Sicherstellung rechtsstaatl. Verfahren,2015,0.8311513949
Meinungsfreiheit,2015,0.912838078
Religions- und Glaubensfreiheit,2015,0.8605715324
Recht auf Privatsphäre,2015,0.8417102563
Versammlungsfreiheit,2015,0.9318875399
Grundprinzipien der Kernarbeitsnormen,2015,0.8694097038
