gas,year,value
Kohlendioxid*,1990,1050959012.2781
Kohlendioxid*,1991,1013076863.8646
Kohlendioxid*,1992,964945174.9254
Kohlendioxid*,1993,955392269.6669
Kohlendioxid*,1994,939099192.514
Kohlendioxid*,1995,938047136.6982
Kohlendioxid*,1996,958267027.2308
Kohlendioxid*,1997,930667350.4344
Kohlendioxid*,1998,922675809.7762
Kohlendioxid*,1999,895244644.8446
Kohlendioxid*,2000,899204267.0333
Kohlendioxid*,2001,915554484.8505
Kohlendioxid*,2002,899072746.3716
Kohlendioxid*,2003,900302900.2714
Kohlendioxid*,2004,886289100.5817
Kohlendioxid*,2005,865912014.8767
Kohlendioxid*,2006,877377861.4964
Kohlendioxid*,2007,850749690.9409
Kohlendioxid*,2008,853193885.0522
Kohlendioxid*,2009,788377203.3737
Kohlendioxid*,2010,832219614.147
Kohlendioxid*,2011,812439506.8803
Kohlendioxid*,2012,816989929.2674
Kohlendioxid*,2013,835745600.8673
Kohlendioxid*,2014,794828966.5948
Kohlendioxid*,2015,792054499.4077
Methan,1990,118442684.8619
Methan,1991,112861366.702
Methan,1992,109426338.1978
Methan,1993,109967959.2506
Methan,1994,106123163.4407
Methan,1995,103932322.8016
Methan,1996,101318926.3225
Methan,1997,97111275.9864
Methan,1998,91912843.133
Methan,1999,91321999.5785
Methan,2000,87059350.3598
Methan,2001,83445151.9503
Methan,2002,79582948.028
Methan,2003,76234883.6442
Methan,2004,71240163.5917
Methan,2005,68027935.1196
Methan,2006,64124466.1554
Methan,2007,61920597.733
Methan,2008,60995314.6859
Methan,2009,58806164.3094
Methan,2010,57990897.024
Methan,2011,56916419.3079
Methan,2012,57612069.646
Methan,2013,56978026.8586
Methan,2014,56008971.5469
Methan,2015,55616081.8985
Lachgas,1990,65239052.6734
Lachgas,1991,62824207.3085
Lachgas,1992,63834820.1356
Lachgas,1993,61067015.5481
Lachgas,1994,61946374.2003
Lachgas,1995,61291360.5508
Lachgas,1996,62558923.0056
Lachgas,1997,59693177.6967
Lachgas,1998,46801666.0368
Lachgas,1999,43364425.7953
