category,year,value
GHG,1990,37307993643.7
GHG,1991,37447880119.9
GHG,1992,37677570925.3
GHG,1993,37199022486.7
GHG,1994,37691579773.9
GHG,1995,38365951476.7
GHG,1996,38711061458.3
GHG,1997,40989561201.5
GHG,1998,39817654903.4
GHG,1999,39231147971.4
GHG,2000,39851625539.9
GHG,2001,40470630438.3
GHG,2002,41833282603.1
GHG,2003,42817101570.1
GHG,2004,44549837010.7
GHG,2005,45764058121.8
GHG,2006,46479441448.0
GHG,2007,47525443973.9
GHG,2008,47502467948.6
GHG,2009,47484823183.7
GHG,2010,49126244022.4
GHG,2011,50320404870.5
GHG,2012,50781435724.3
CO2,1990,22670893225.6
CO2,1991,22809619614.0
CO2,1992,22710227621.3
CO2,1993,22858683327.7
CO2,1994,23112718688.7
CO2,1995,23837072733.1
CO2,1996,24272294033.5
CO2,1997,24627462979.4
CO2,1998,24752697179.3
CO2,1999,24940890371.0
CO2,2000,25825340788.6
CO2,2001,26084041148.1
CO2,2002,26563195971.8
CO2,2003,27742631023.3
CO2,2004,28991205668.3
CO2,2005,30018828502.1
CO2,2006,31011452562.9
CO2,2007,32161122441.8
CO2,2008,32356491073.4
CO2,2009,32029489865.4
CO2,2010,33865903854.4
CO2,2011,34922713724.6
CO2,2012,35165106445.6
CO2,2013,35865277318.9
CO2,2014,36273571208.1
CO2,2015,36247612318.5
