id,title,type,data,config,alt_text,new_data,status,dashboard,report,copyright,source_label,source_url,source_annotation,footnote
00-00-a,Dialogorte,PointMap,X2/event-points.csv,"{
  ""ordinalAccessor"": ""type"",
  ""colorRange"": [""#F2BF17"", ""#0778a5"", ""#8c1478""],
  ""shape"": ""marker"",
  ""legendTitle"": ""Veranstaltungstyp""
}","Die Abbildung zeigt eine Deutschland-Karte, auf der die Dialogorte in ganz Deutschland markiert sind.",FALSE,plotted,FALSE,TRUE,,,,,
01-00-a,Anzahl der Pflegebedürftigen nach Art der Versorgung zum Jahresende 2015,Bar,01/00/categories.csv,"{
  ""column"": ""category"",
  ""columnSort"": ""none"",
  ""y"": ""description"",
  ""color"": ""type"",
  ""colorSort"": ""none"",
  ""sort"": ""none"",
  ""highlight"": ""datum.type == 'Total'""
}",-,FALSE,"deprecated, replaced by static",FALSE,FALSE,,,,Statistisches Bundesamt (2017): Pflegestatistik 2015 – Pflege im Rahmen der Pflegeversicherung Deutschlandergebnisse. Statistisches Bundesamt: Wiesbaden.,Ergebnisse zum 31.12.2015.
01-00-b,Anzahl der Pflegebedürftigen nach Art der Versorgung zum Jahresende 2015,Static,01/00/categories.csv,,"Die Abbildung zeigt die Anzahl der Pflegebedürftigen nach Art der Versorgung zum Jahresende 2015. Von knapp 2,9 Millionen Pflegebedürftigen im Jahr 2015 wurden rund 2,1 Millionen zu Hause versorgt und rund 800.000 vollstationär in Heimen betreut. Von den Pflegebedürftigen, die zu Hause betreut wurden, wurden fast 1,4 Millionen alleine durch Angehörige und 700.000 zusammen mit ambulanten Pflegediensten betreut.",FALSE,plotted,FALSE,TRUE,,,,Statistisches Bundesamt (2017): Pflegestatistik 2015 – Pflege im Rahmen der Pflegeversicherung Deutschlandergebnisse. Statistisches Bundesamt: Wiesbaden.,Ergebnisse zum 31.12.2015. 
01-01-a,Entwicklung der Lebenserwartung bei Geburt,Line,01/01/regions.csv,"{
  ""filter"": ""datum.at_age == 0 && datum.region != 'Gesamt' && datum.gender != 'Total'"",
  ""unit"": ""Jahre"",
  ""numberFormat"": "".1f"",
  ""zero"": false,
  ""colorRange"": [""#F2BF18"", ""#F28502"", ""#C40046"", ""#890D48""],
  ""category"": ""datum.gender + ' ' + datum.region""
}","Die Abbildung zeigt die Entwicklung der Lebenserwartung bei Geburt im Zeitraum von 1956 bis 2015. Differenziert wird dabei nach Männern und Frauen und ost- und westdeutschen Bundesländern. Die Lebenserwartung ist in diesem Zeitraum für alle Gruppen deutlich gestiegen. Die Lebenserwartung von Männern lag im gesamten Zeitraum unter der Lebenserwartung von Frauen. 2015 betrug die Lebenserwartung für Frauen sowohl in den west- als auch ostdeutschen Bundesländern rund 83 Jahre, für Männer lag die Lebenserwartung bei 78,4 Jahren in den westdeutschen Bundesländern und bei 77 Jahren in den ostdeutschen Bundesländern.",FALSE,plotted,TRUE,TRUE,,Human Mortality Database.,http://www.humanmortality.de/,"University of California, Berkeley (USA) und Max-Planck-Institut für demografische Forschung (Deutschland).",
01-01-b,Zugewinne in der Lebenserwartung bei Geburt seit der Deutschen Wiedervereinigung nach Geschlecht,Slope,01/01/regions.csv,"{
  ""filter"": ""datum.at_age == 0 && (datum.year == 1990 || datum.year == 2015) && datum.region != 'Gesamt' && datum.gender != 'Total'"",
  ""numberFormat"": "".1f"",
  ""unit"": ""Jahre"",
  ""column"": ""gender"",
  ""color"": ""region"",
  ""zero"": false
}","Die Abbildung zeigt die Zugewinne in der Lebenserwartung bei Geburt seit der Deutschen Wiedervereinigung differenziert nach Geschlecht. 1990 lag die Lebenserwartung von Männer in Ostdeutschland bei rund 69 Jahren, 2015 bei 77 Jahren. In Westdeutschland lag die Lebenserwartung von Männer 1990 bei rund 73 Jahren, 2015 bei 78,4 Jahren. Die Lebenserwartung der Frauen in den ostdeutschen Bundesländern hat sich seit 1990 stark der von Frauen in den westdeutschen Bundesländern angenähert und lag 2015 auf dem gleichen Niveau bei rund 83 Jahren.",FALSE,plotted,TRUE,TRUE,,Human Mortality Database.,http://www.humanmortality.de/,"University of California, Berkeley (USA) und Max-Planck-Institut für demografische Forschung (Deutschland).",
01-01-c,Zugewinne in der Lebenserwartung bei Geburt seit der Deutschen Wiedervereinigung,Slope,01/01/regions.csv,"{
  ""filter"": ""datum.at_age == 0 && (datum.year == 1990 || datum.year == 2015) && datum.region == 'Gesamt' && datum.gender == 'Total'"",
  ""numberFormat"": "".1f"",
  ""unit"": ""Jahre"",
  ""columns"": 1,
  ""zero"": false
}","Die Abbildung zeigt die Lebenserwartung bei Geburt in den Jahren 1990 und 2015. 1990 lag diese bei 75,3 Jahren. 2015 betrug sie 80,6 Jahre.",FALSE,plotted,TRUE,FALSE,,Human Mortality Database.,http://www.humanmortality.de/,"University of California, Berkeley (USA) und Max-Planck-Institut für demografische Forschung (Deutschland).",
01-02-a,Entwicklung des Anteils an Fettleibigen nach Altersgruppen 1999 und 2013,Slope,01/02/age-groups.csv,"{
  ""filter"": ""(datum.year == 1999 || datum.year == 2013) && datum.age_group != 'Zusammen' && datum.age_group != '65 und älter'"",
  ""column"": ""gender"",
  ""color"": ""age_group""
}",Die Abbildung zeigt den Anteil an Fettleibigen in den Jahren 1999 und 2013 differenziert nach Altersgruppen und Geschlecht. Der Anteil der Männer und Frauen mit einem Body Mass Index größer als 30 war 2013 in allen fünf dargestellten Altersgruppen höher als 1999. Das Risiko für Fettleibigkeit steigt mit zunehmendem Alter. So ist der Anteil der Männer und Frauen mit einem Body Mass Index von 30 und höher in der Altersgruppe der 55- bis 64-Jährigen am höchsten. 24 Prozent der Männer und 19 Prozent der Frauen dieser Altersgruppe waren im Jahr 2013 fettleibig. Das Risiko für Fettleibigkeit ist für Männer in allen Altersgruppen höher als das für Frauen.,FALSE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Mikrozensus, eigene Berechnungen.",
01-02-b,Entwicklung des Anteils an Fettleibigen nach Bundesländern 1999 und 2013,Slope,01/02/states.csv,"{
  ""column"": ""category"",
  ""color"": ""state"",
  ""filter"": ""datum.year == 1999 || datum.year == 2013"",
  ""numberFormat"": "".1%"",
  ""columnFilter"": [
    {""title"": ""Höchster Anteil"", ""test"": ""indexof(['Brandenburg', 'Mecklenburg-Vorpommern', 'Rheinland-Pfalz', 'Sachsen-Anhalt', 'Thüringen', 'Deutschland'], datum.state) > -1""},
    {""title"": ""Niedrigster Anteil"", ""test"": ""indexof(['Baden-Württemberg', 'Berlin', 'Bremen', 'Hamburg', 'Schleswig-Holstein', 'Deutschland'], datum.state) > -1""}
  ]
}","Die Abbildung zeigt den Anteil an Fettleibigen in den Jahren 1999 und 2013 differenziert nach Bundesländern. Der Anteil an fettleibigen Erwachsenen war 2013 in Deutschland insgesamt, aber auch in vielen Bundesländern höher als im Jahr 1999. Der gesamtdeutsche Durchschnitt betrug 1999 11,5 Prozent und 2013 15,7 Prozent. Die Bundesländer Sachsen-Anhalt, Thüringen, Mecklenburg-Vorpommern, Brandenburg und Rheinland-Pfalz lagen 2013 über diesem Wert und hatten Anteile an fettleibigen Erwachsenen zwischen 17,1 und 20,6 Prozent. Die Bundesländer Baden-Württemberg, Berlin, Hamburg, Bremen, Schleswig-Holstein lagen unter dem gesamtdeutschen Durchschnitt. Sie wiesen Anteile an fettleibigen Erwachsenen zwischen 11,1 und 14,6 Prozent auf.",FALSE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Mikrozensus, eigene Berechnungen. ",
01-02-c,Entwicklung des Anteils an Fettleibigen 1999 und 2013,Slope,01/02/states.csv,"{
  ""columns"": 1,
  ""filter"": ""(datum.year == 1999 || datum.year == 2013) && datum.state == 'Deutschland'"",
  ""numberFormat"": "".1%""
}","Die Abbildung zeigt den Anteil an Fettleibigen in den Jahren 1990 und 2013. 1990 lag der Anteil bei 11,5 Prozent. 2013 betrug er 15,7 Prozent.",FALSE,plotted,FALSE,FALSE,,,,"Statistisches Bundesamt, Mikrozensus, eigene Berechnungen. ",
01-03-a,"Anzahl der Einwohner, die ein Hausarzt pro Kreisregion versorgt 2010 und 2016",KRegMap,01/03/density.csv,"{
  ""filter"": ""datum.category == 'HAUS'"",
  ""legendTitle"": ""Anzahl der Einwohner"",
  ""column"": ""year"",
  ""columns"": 2
}","Die Abbildung zeigt anhand von zwei Deutschland-Karten, wie viele Einwohner ein Hausarzt durchschnittlich in einer Kreisregion in den Jahren 2010 und 2016 versorgte. Es zeigt sich eine große regionale Heterogenität. Die Spanne reicht von 1.101 Einwohnern pro Hausarzt in der Kreisregion Garmisch-Partenkirchen bis 2.037 Einwohnern pro Hausarzt in der Kreisregion Gütersloh.",FALSE,plotted,TRUE,TRUE,,,,"Kassenärztliche Bundesvereinigung, Sonderauswertung. Datenstand Arztzahlen: 31.12.2016; Quelle: Bundesarztregister. ","Die Kreisregionen sind nach der Gebietssystematik des BBSR zugeordnet, Datenstand Gebiete und Einwohner 31.12.2014. "
