id,title,group,key_fact_value,key_fact_unit,key_fact_text,keywords
01,**Gesund** durchs Leben,Unser Leben,3,Monate,Jedes Jahr leben Menschen in Deutschland drei Monate länger.,Gesundheit
02,Gut **arbeiten** und gerecht teilhaben,Unser Leben,4,Mio,Heute haben 4 Millionen mehr Menschen Jobs als kurz nach der Wiedervereinigung.,Arbeit
03,**Bildungschancen** für alle,Unser Leben,16,%,Trotz zählbarer Fortschritte geht jeder sechste junge Mensch mit Migrationshintergrund zu früh von der Schule.,Bildung
04,**Zeit** haben für Familie und Beruf,Unser Leben,6,%,"Bei berufstätigen Müttern mit minderjährigen Kindern liegt die Teilzeitquote bei rund 70 Prozent, bei Vätern nur bei 6 %.","Zeit,Vereinbarkeit"
05,Ein sicheres **Einkommen**,Unser Leben,13/31,,Bei der Einkommensungleichheit liegt Deutschland auf Rang 13 von 31 OECD Ländern.,Einkommen
06,**Sicher** und **frei** leben,Unser Umfeld,-17,%,Die Gewaltkriminalität ist zwischen 2007 und 2015 um rund 17 % gesunken.,Sicherheit
07,**Zuhause** sein in Stadt und Land,Unser Umfeld,1/3,,"Fast ein Drittel der Menschen in Deutschland brauchen länger als eine halbe Stunde, um die nächste größere Stadt mit öffentlichen Verkehrsmitteln zu erreichen. Mit dem Auto sind es nur 1 %.",Infrastruktur
08,**Zusammenhalten** in Familie und Gesellschaft,Unser Umfeld,+28,%,Jeder 4. Deutsche engagiert sich ehrenamtlich. Das sind rund 28 % mehr als 1999.,Zusammenhalt
09,"**Wirtschaft** stärken, in die **Zukunft** investieren",Unser Land,+34,%,Seit 1991 ist die Wirtschaftsleistung pro Kopf um 34 % gestiegen.,Wirtschaft
10,"**Natur** erhalten, **Umwelt** schützen",Unser Land,-9,%,Seit 1991 ist der Energieverbrauch um rund 9 % gesunken.,Umwelt
11,**Frei** und **gleichberechtigt** leben,Unser Land,70,%,In den 70er Jahren lag die Wahlbeteiligung bei Bundestagswahlen bei über 90 %. Zuletzt gingen nur noch etwas über 70 % zur Wahl.,"Demokratie,Freiheit"
12,In globaler **Verantwortung** handeln und Frieden sichern,Unser Land,+1/3,,Seit 1990 sind die jährlichen globalen Treibhausgasemissionen um rund ein Drittel gestiegen.,Frieden
