facet,facet_value,gender,year,value
,,Insgesamt,1991,0.704
,,Insgesamt,1992,0.691
,,Insgesamt,1993,0.677
,,Insgesamt,1994,0.674
,,Insgesamt,1995,0.676
,,Insgesamt,1996,0.674
,,Insgesamt,1997,0.669
,,Insgesamt,1998,0.671
,,Insgesamt,1999,0.681
,,Insgesamt,2000,0.686
,,Insgesamt,2001,0.691
,,Insgesamt,2002,0.688
,,Insgesamt,2003,0.684
,,Insgesamt,2004,0.679
,,Insgesamt,2005,0.693
,,Insgesamt,2006,0.710
,,Insgesamt,2007,0.728
,,Insgesamt,2008,0.739
,,Insgesamt,2009,0.740
,,Insgesamt,2010,0.748
,,Insgesamt,2011,0.763
,,Insgesamt,2012,0.767
,,Insgesamt,2013,0.771
,,Insgesamt,2014,0.775
,,Insgesamt,2015,0.778
,,Insgesamt,2016,0.784
