category,year,value
Insgesamt,1991,0.1407476817
Insgesamt,1992,0.1473845852
Insgesamt,1993,0.145505282
Insgesamt,1994,0.1506918155
Insgesamt,1995,0.1607448415
Insgesamt,1996,0.1667851701
Insgesamt,1997,0.1769243957
Insgesamt,1998,0.1843356065
Insgesamt,1999,0.1989891109
Insgesamt,2000,0.1999730267
Insgesamt,2001,0.2028907563
Insgesamt,2002,0.202631222
Insgesamt,2003,0.2122980251
Insgesamt,2004,0.214554139
Insgesamt,2005,0.2345293812
Insgesamt,2006,0.2523256994
Insgesamt,2007,0.2547563805
Insgesamt,2008,0.2526425682
Insgesamt,2009,0.2488157078
Insgesamt,2010,0.2538881883
Insgesamt,2011,0.2513834504
Insgesamt,2012,0.24441247
Insgesamt,2013,0.2398695707
Insgesamt,2014,0.2334753462
Insgesamt,2015,0.2316873
