category,year,value,confidence95_lower,confidence95_upper
Gesamt,1991,7.279519,7.204807,7.354231
Gesamt,1992,7.0651,6.999383,7.130817
Gesamt,1993,6.9632,6.932407,6.993994
Gesamt,1994,6.870495,6.79874,6.942251
Gesamt,1995,6.833103,6.769605,6.8966
Gesamt,1996,6.823075,6.765791,6.880359
Gesamt,1997,6.819967,6.750036,6.889898
Gesamt,1998,6.87546,6.802691,6.948228
Gesamt,1999,6.916199,6.811144,7.021254
Gesamt,2000,7.106385,7.056844,7.155926
Gesamt,2001,6.90484,6.855335,6.954346
Gesamt,2002,6.88986,6.849183,6.930538
Gesamt,2003,6.767482,6.720403,6.814562
Gesamt,2004,6.743049,6.712161,6.773937
Gesamt,2005,6.717355,6.640025,6.794686
Gesamt,2006,6.79667,6.749335,6.844005
Gesamt,2007,6.768964,6.697293,6.840635
Gesamt,2008,6.744792,6.679728,6.809855
Gesamt,2009,6.813975,6.725278,6.90267
Gesamt,2010,6.901333,6.839553,6.963113
Gesamt,2011,7.021528,6.976023,7.067033
Gesamt,2012,7.007963,6.955769,7.060157
Gesamt,2013,7.05274,6.995682,7.109798
