region,year,value,confidence95_lower,confidence95_upper
Deutschland,1991,18113.00,17886.28,18339.66
Deutschland,1992,18433.00,18123.15,18742.31
Deutschland,1993,18378.00,18099.38,18656.78
Deutschland,1994,17990.00,17748.10,18231.70
Deutschland,1995,18122.00,17894.08,18349.39
Deutschland,1996,18303.00,17992.37,18612.69
Deutschland,1997,18229.00,17969.05,18488.24
Deutschland,1998,18676.00,18426.36,18926.06
Deutschland,1999,19297.00,18993.31,19601.28
Deutschland,2000,19364.00,19177.22,19550.91
Deutschland,2001,19012.00,18758.67,19265.74
Deutschland,2002,19418.00,19193.96,19642.16
Deutschland,2003,19256.00,18960.94,19552.02
Deutschland,2004,19136.00,18867.01,19405.18
Deutschland,2005,18996.00,18726.01,19266.26
Deutschland,2006,19017.00,18777.78,19256.29
Deutschland,2007,19337.00,19050.55,19622.94
Deutschland,2008,19138.00,18729.27,19547.56
Deutschland,2009,19880.00,19569.34,20190.24
Deutschland,2010,19815.00,19341.67,20288.33
Deutschland,2011,19568.00,19269.69,19865.80
Deutschland,2012,19589.00,19199.54,19978.03
Deutschland,2013,19476.00,19130.50,19821.25
Deutschland,2014,19812.00,19423.77,20201.00
