category,year,value,confidence95_lower,confidence95_upper
Gini nach Steuern und Transfers,1991,0.24789,0.2416303,0.2541431
Gini nach Steuern und Transfers,1992,0.2506,0.246047,0.255143
Gini nach Steuern und Transfers,1993,0.25167,0.2435553,0.2597794
Gini nach Steuern und Transfers,1994,0.25917,0.2525026,0.2658453
Gini nach Steuern und Transfers,1995,0.25559,0.2462392,0.2649495
Gini nach Steuern und Transfers,1996,0.24932,0.2414757,0.2571703
Gini nach Steuern und Transfers,1997,0.2497,0.2412657,0.2581394
Gini nach Steuern und Transfers,1998,0.25045,0.243851,0.2570429
Gini nach Steuern und Transfers,1999,0.24913,0.2438949,0.2543679
Gini nach Steuern und Transfers,2000,0.25468,0.2491245,0.2602431
Gini nach Steuern und Transfers,2001,0.25706,0.250627,0.2634962
Gini nach Steuern und Transfers,2002,0.26942,0.2638889,0.2749446
Gini nach Steuern und Transfers,2003,0.26862,0.2620855,0.2751628
Gini nach Steuern und Transfers,2004,0.27423,0.2666815,0.2817753
Gini nach Steuern und Transfers,2005,0.28821,0.2754977,0.300913
Gini nach Steuern und Transfers,2006,0.28594,0.2784151,0.2934579
Gini nach Steuern und Transfers,2007,0.28596,0.2776507,0.2942654
Gini nach Steuern und Transfers,2008,0.28351,0.2752394,0.2917895
Gini nach Steuern und Transfers,2009,0.28207,0.2744573,0.2896872
Gini nach Steuern und Transfers,2010,0.28271,0.2764802,0.2889399
Gini nach Steuern und Transfers,2011,0.28383,0.2746185,0.293043
Gini nach Steuern und Transfers,2012,0.28569,0.2769543,0.2944293
Gini nach Steuern und Transfers,2013,0.2924,0.2875518,0.2972485
