facet,facet_value,year,value,confidence95_lower,confidence95_upper
Alle,,1991,0.113,0.108,0.119
Alle,,1992,0.111,0.104,0.117
Alle,,1993,0.107,0.098,0.115
Alle,,1994,0.122,0.112,0.132
Alle,,1995,0.115,0.107,0.124
Alle,,1996,0.108,0.101,0.116
Alle,,1997,0.107,0.099,0.115
Alle,,1998,0.106,0.100,0.111
Alle,,1999,0.108,0.099,0.117
Alle,,2000,0.116,0.111,0.120
Alle,,2001,0.125,0.119,0.131
Alle,,2002,0.130,0.123,0.136
Alle,,2003,0.131,0.127,0.135
Alle,,2004,0.138,0.126,0.149
Alle,,2005,0.141,0.128,0.153
Alle,,2006,0.139,0.131,0.147
Alle,,2007,0.142,0.136,0.148
Alle,,2008,0.143,0.137,0.150
Alle,,2009,0.149,0.139,0.160
Alle,,2010,0.140,0.128,0.152
Alle,,2011,0.140,0.130,0.149
Alle,,2012,0.145,0.138,0.153
Alle,,2013,0.152,0.142,0.161
Alle,,2014,0.158,0.146,0.170
