year,scenario,type,value
2010,Standard-Szenario,,29.7407108716
2011,Standard-Szenario,,30.2238051896
2012,Standard-Szenario,,29.8744906068
2013,Standard-Szenario,,29.6871719653
2013,Standard-Szenario,Prognose,29.6871719653
2014,Standard-Szenario,Prognose,29.7
2015,Standard-Szenario,Prognose,29.9
2016,Standard-Szenario,Prognose,30.2
2017,Standard-Szenario,Prognose,30.6
2018,Standard-Szenario,Prognose,30.9
2019,Standard-Szenario,Prognose,31.4
2020,Standard-Szenario,Prognose,31.8
2021,Standard-Szenario,Prognose,32.3
2022,Standard-Szenario,Prognose,32.9
2023,Standard-Szenario,Prognose,33.5
2024,Standard-Szenario,Prognose,34.2
2025,Standard-Szenario,Prognose,35
2026,Standard-Szenario,Prognose,35.9
2027,Standard-Szenario,Prognose,36.9
2028,Standard-Szenario,Prognose,38.1
2029,Standard-Szenario,Prognose,39.3
2030,Standard-Szenario,Prognose,40.6
2031,Standard-Szenario,Prognose,41.9
2032,Standard-Szenario,Prognose,43.2
2033,Standard-Szenario,Prognose,44.5
2034,Standard-Szenario,Prognose,45.7
2035,Standard-Szenario,Prognose,46.8
2036,Standard-Szenario,Prognose,47.7
2037,Standard-Szenario,Prognose,48.4
2038,Standard-Szenario,Prognose,48.9
2039,Standard-Szenario,Prognose,49.1
2040,Standard-Szenario,Prognose,49
2041,Standard-Szenario,Prognose,49
2042,Standard-Szenario,Prognose,48.8
2043,Standard-Szenario,Prognose,48.8
2044,Standard-Szenario,Prognose,48.7
2045,Standard-Szenario,Prognose,48.8
2046,Standard-Szenario,Prognose,48.8
2047,Standard-Szenario,Prognose,49
2048,Standard-Szenario,Prognose,49.2
2049,Standard-Szenario,Prognose,49.5
2050,Standard-Szenario,Prognose,49.7
2051,Standard-Szenario,Prognose,49.8
2052,Standard-Szenario,Prognose,50.1
2053,Standard-Szenario,Prognose,50.4
2054,Standard-Szenario,Prognose,50.9
2055,Standard-Szenario,Prognose,51.5
2056,Standard-Szenario,Prognose,52
2057,Standard-Szenario,Prognose,52.6
2058,Standard-Szenario,Prognose,53
2059,Standard-Szenario,Prognose,53.3
2060,Standard-Szenario,Prognose,53.5
