category,year,type,value
Gewaltkriminalität,1993,erfasste Fälle,160680
Gewaltkriminalität,1994,erfasste Fälle,156272
Gewaltkriminalität,1995,erfasste Fälle,170170
Gewaltkriminalität,1996,erfasste Fälle,179455
Gewaltkriminalität,1997,erfasste Fälle,186447
Gewaltkriminalität,1998,erfasste Fälle,186306
Gewaltkriminalität,1999,erfasste Fälle,186655
Gewaltkriminalität,2000,erfasste Fälle,187103
Gewaltkriminalität,2001,erfasste Fälle,188413
Gewaltkriminalität,2002,erfasste Fälle,197492
Gewaltkriminalität,2003,erfasste Fälle,204124
Gewaltkriminalität,2004,erfasste Fälle,211172
Gewaltkriminalität,2005,erfasste Fälle,212832
Gewaltkriminalität,2006,erfasste Fälle,215471
Gewaltkriminalität,2007,erfasste Fälle,217923
Gewaltkriminalität,2008,erfasste Fälle,210885
Gewaltkriminalität,2009,erfasste Fälle,208446
Gewaltkriminalität,2010,erfasste Fälle,201243
Gewaltkriminalität,2011,erfasste Fälle,197030
Gewaltkriminalität,2012,erfasste Fälle,195143
Gewaltkriminalität,2013,erfasste Fälle,184847
Gewaltkriminalität,2014,erfasste Fälle,180955
Gewaltkriminalität,2015,erfasste Fälle,181386
Gewaltkriminalität,2016,erfasste Fälle,193542
