country,year,value
Deutschland,1995,0.0213041617
Deutschland,1997,0.0218167155
Deutschland,1999,0.0235333394
Deutschland,2000,0.024014013
Deutschland,2001,0.0239631434
Deutschland,2002,0.0242390363
Deutschland,2003,0.0246512789
Deutschland,2004,0.0242650139
Deutschland,2005,0.0242860825
Deutschland,2006,0.0246387545
Deutschland,2007,0.0244712614
Deutschland,2008,0.0259956519
Deutschland,2009,0.0272644236
Deutschland,2010,0.0271366587
Deutschland,2011,0.0279561659
Deutschland,2012,0.0287166236
Deutschland,2013,0.0282645979
Deutschland,2014,0.0289656303
