category,name,year,value
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2000,121.0795806252
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2001,116.9875590986
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2002,110.7862704383
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2003,107.095364716
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2004,103.8169363665
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2005,100
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2006,99.2229861408
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2007,95.9719660455
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2008,93.1963186608
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2009,88.1516205519
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2010,91.8024916195
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2011,90.4819532952
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2012,87.2925421974
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2013,87.5030899678
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2014,83.8947728141
"Luftschadstoffe (+ PM<sub>2,5</sub>)",,2015,81.53260136
