region,year,value
Deutschland,1949,0.785
Deutschland,1953,0.86
Deutschland,1957,0.878
Deutschland,1961,0.877
Deutschland,1965,0.868
Deutschland,1969,0.867
Deutschland,1972,0.911
Deutschland,1976,0.907
Deutschland,1980,0.886
Deutschland,1983,0.891
Deutschland,1987,0.843
Deutschland,1990,0.7776073787
Deutschland,1994,0.7896842436
Deutschland,1998,0.8220017392
Deutschland,2002,0.7908268421
Deutschland,2005,0.776524679
Deutschland,2009,0.7078437277
Deutschland,2013,0.7152888199
Deutschland,2017,0.76150907256
