year,value
1960,0.0031
1961,0.0045
1962,0.0045
1963,0.0041
1964,0.0044
1965,0.004
1966,0.0034
1967,0.0041
1968,0.0042
1969,0.0038
1970,0.0032
1971,0.0034
1972,0.0032
1973,0.0032
1974,0.0038
1975,0.004
1976,0.0036
1977,0.0033
1978,0.0037
1979,0.0045
1980,0.0044
1981,0.0047
1982,0.0048
1983,0.0048
1984,0.0045
1985,0.0047
1986,0.0043
1987,0.0039
1988,0.0039
1989,0.0041
1990,0.0042
1991,0.0039
1992,0.0037
1993,0.0035
1994,0.0033
1995,0.0031
1996,0.0032
1997,0.0028
1998,0.0026
1999,0.0026
2000,0.0027
2001,0.0027
2002,0.0027
2003,0.0028
2004,0.0028
2005,0.0036
2006,0.0036
2007,0.0037
2008,0.0038
2009,0.0035
2010,0.0039
2011,0.0039
2012,0.0037
2013,0.0038
2014,0.0042
2015,0.0052
2016,0.0070
