id,name,no2Ags
08435053,Sipplingen,10041100
08437047,Hettingen,10041100
08425052,Grundsheim,10041518
08435034,Markdorf,10041100
08436009,Bad Waldsee,10041100
08426005,Alleshausen,10041518
03255036,Wangelnstedt,15085370
03255022,Holzen,15085370
08437104,Sigmaringen,10041100
08437124,Herdwangen-Schönach,10041100
07334001,Bellheim,10041518
08436005,Altshausen,10041100
08437107,Stetten am kalten Markt,10041100
08436040,Guggenhausen,10041100
08426058,Hochdorf,10041518
08437008,Bingen,10041100
08437118,Wald,10041100
08436027,Eichstegen,10041100
08426109,Seekirch,10041518
08426067,Langenenslingen,10041518
08435045,Oberteuringen,10041100
08436019,Boms,10041100
08425036,Emerkingen,10041518
08436078,Vogt,10041100
08436047,Hoßkirch,10041100
08426006,Allmannsweiler,10041100
08426070,Laupheim,10041518
08436095,Horgenzell,10041100
03255010,Dielmissen,15085370
08436001,Achberg,10041100
08435020,Heiligenberg,10041100
08436077,Unterwaldhausen,10041100
08436024,Ebenweiler,10041100
08426021,Biberach an der Riß,10041518
08437114,Veringenstadt,10041100
08436032,Fleischwangen,10041100
08425081,Munderkingen,10041518
08425124,Unterstadion,10041518
08436083,Wilhelmsdorf,10041100
08437086,Ostrach,10041100
09776130,Weißensberg,10041100
08435054,Stetten,10041100
08436096,Fronreute,10041100
08437105,Sigmaringendorf,10041100
08435010,Daisendorf,10041100
08426036,Dürnau,10041100
08436079,Waldburg,10041100
09776125,Scheidegg,10041100
08436053,Königseggwald,10041100
08417075,Winterlingen,10041100
08436014,Bergatreute,10041100
08435047,Owingen,10041100
08437101,Scheer,10041100
08119055,Plüderhausen,10041518
08125013,Brackenheim,10041518
08116072,Wernau (Neckar),10041518
08116054,Owen,10041518
08136034,Iggingen,16066042
08125008,Beilstein,10041518
08117031,Hohenstadt,10041518
08125107,Wüstenrot,10041518
08125027,Erlenbach,10041518
08425134,Westerheim,10041518
08117035,Mühlhausen im Täle,10041518
08415014,Dettingen an der Erms,10041518
14627100,Klipphausen,14627210
08415027,Gomadingen,10041518
08425093,Öpfingen,10041518
08116043,Neidlingen,10041518
08118046,Kornwestheim,10041518
08118074,Walheim,10041518
08118003,Asperg,10041518
08125065,Neckarsulm,10041518
16068006,Buttstädt,16055000
16077049,Vollmershain,16052000
09571139,Dürrwangen,16072013
08425090,Obermarchtal,10041518
14524120,Hohenstein-Ernstthal,14524080
03152006,Dransfeld,16064046
08426062,Ingoldingen,10041518
08426121,Unlingen,10041518
09776111,Bodolz,10041100
08426045,Ertingen,10041100
08426134,Schemmerhofen,10041518
08437088,Pfullendorf,10041100
08436067,Riedhausen,10041100
14524230,Oberlungwitz,14524080
08425035,Emeringen,10041518
08435005,Bermatingen,10041100
08435013,Eriskirch,10041100
08426120,Ummendorf,10041518
08437076,Mengen,10041100
08415085,Zwiefalten,10041518
08437100,Bad Saulgau,10041100
08426118,Tiefenbach,10041518
08425123,Untermarchtal,10041518
08117020,Eschenbach,10041518
08118047,Löchgau,10041518
08116053,Ohmden,10041518
08335075,Singen (Hohentwiel),10041100
08136020,Eschach,16066042
08117037,Ottenbach,10041518
08117009,Birenbach,10041518
08117001,Adelberg,10041518
08116016,Dettingen unter Teck,10041518
03460006,Lohne (Oldenburg),15081280
03358018,Rethem (Aller),15081280
03251013,Drebber,15081280
16067086,Drei Gleichen,16051000
08116007,Baltmannsweiler,10041518
08119067,Schorndorf,10041518
08425050,Griesingen,10041518
16067085,Günthersleben-Wechmar,16051000
08417013,Burladingen,10041518
08437082,Neufra,10041100
08116073,Wolfschlugen,10041518
08425079,Merklingen,10041518
08425071,Laichingen,10041518
16071009,Buchfart,16055000
16071071,Oettern,16055000
08126069,Pfedelbach,16066042
08116079,Lenningen,10041518
08116048,Notzingen,10041518
08116041,Neckartailfingen,10041518
08416025,Mössingen,10041518
08119091,Weinstadt,10041518
03255034,Stadtoldendorf,15085370
08425141,Blaustein,10041518
08136070,Täferrot,16066042
08117060,Zell unter Aichelberg,10041518
08118054,Murr,10041518
08425020,Blaubeuren,10041518
08117003,Albershausen,10041518
08116037,Lichtenwald,10041518
08119083,Weissach im Tal,10041518
08118010,Bönnigheim,10041518
08118040,Kirchheim am Neckar,10041518
08425084,Nellingen,10041518
08116049,Nürtingen,10041518
08415029,Grafenberg,10041518
08416023,Kusterdingen,10041518
08117042,Salach,10041518
08116004,Altbach,10041518
08437056,Illmensee,10041100
08436082,Weingarten,10041100
08437044,Herbertingen,10041100
08426071,Maselheim,10041518
08426074,Mittelbiberach,10041518
08426008,Altheim,10041100
08435015,Frickingen,10041100
08425125,Unterwachingen,10041518
08436008,Aulendorf,10041100
08435067,Deggenhausertal,10041100
08426128,Warthausen,10041518
08436093,Ebersbach-Musbach,10041100
08437065,Krauchenwies,10041100
